========== REMO_new2_PIEA4 启动 ==========
时间=2026-05-06 02:34:31 | 问题=WFG9 | M=10 | D=30 | maxFE=300
日志文件=D:\PlatEMO-master\PlatEMO-master\PlatEMO\Algorithms\Multi-objective optimization\REMO_new2_PIEA4\REMO_new2_PIEA4_debug.log
==========================================
[Gen  16 | FE= 228/ 300] p_err=0.078 | 指标=I_eps+ | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=4.20 | n_eval=8
[Gen  17 | FE= 236/ 300] p_err=0.035 | 指标=MD     | score=2(极优) | Pw=[SDE=0.339 I+=0.339 MD=0.322] | Lp=3.10 | n_eval=8
[Gen  16 | FE= 228/ 300] p_err=0.021 | 指标=SDE    | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=2.40 | n_eval=8
[Gen  17 | FE= 236/ 300] p_err=0.034 | 指标=SDE    | score=2(极优) | Pw=[SDE=0.338 I+=0.338 MD=0.325] | Lp=4.20 | n_eval=8
[Gen  17 | FE= 236/ 300] p_err=0.090 | 指标=SDE    | score=2(极优) | Pw=[SDE=0.340 I+=0.340 MD=0.319] | Lp=3.10 | n_eval=8
[Gen  17 | FE= 236/ 300] p_err=0.063 | 指标=MD     | score=2(极优) | Pw=[SDE=0.340 I+=0.340 MD=0.321] | Lp=3.10 | n_eval=8
[Gen  17 | FE= 236/ 300] p_err=0.043 | 指标=SDE    | score=2(极优) | Pw=[SDE=0.346 I+=0.346 MD=0.308] | Lp=4.20 | n_eval=8
[Gen  17 | FE= 236/ 300] p_err=0.028 | 指标=MD     | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=3.10 | n_eval=8
[Gen  18 | FE= 244/ 300] p_err=0.074 | 指标=MD     | score=2(极优) | Pw=[SDE=0.339 I+=0.339 MD=0.322] | Lp=3.10 | n_eval=8
[Gen  18 | FE= 244/ 300] p_err=0.117 | 指标=SDE    | score=2(极优) | Pw=[SDE=0.338 I+=0.338 MD=0.324] | Lp=3.10 | n_eval=8
[Gen  17 | FE= 236/ 300] p_err=0.027 | 指标=SDE    | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=2.40 | n_eval=8
[Gen  18 | FE= 244/ 300] p_err=0.079 | 指标=SDE    | score=2(极优) | Pw=[SDE=0.341 I+=0.341 MD=0.317] | Lp=3.10 | n_eval=8
[Gen  18 | FE= 244/ 300] p_err=0.051 | 指标=MD     | score=2(极优) | Pw=[SDE=0.340 I+=0.340 MD=0.321] | Lp=3.10 | n_eval=8
[Gen  18 | FE= 244/ 300] p_err=0.045 | 指标=SDE    | score=2(极优) | Pw=[SDE=0.348 I+=0.348 MD=0.304] | Lp=4.20 | n_eval=8
[Gen  18 | FE= 244/ 300] p_err=0.056 | 指标=SDE    | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=4.20 | n_eval=8
[Gen  19 | FE= 252/ 300] p_err=0.034 | 指标=MD     | score=2(极优) | Pw=[SDE=0.338 I+=0.338 MD=0.324] | Lp=3.10 | n_eval=8
[Gen  18 | FE= 244/ 300] p_err=0.026 | 指标=SDE    | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=2.40 | n_eval=8
[Gen  19 | FE= 252/ 300] p_err=0.067 | 指标=I_eps+ | score=2(极优) | Pw=[SDE=0.340 I+=0.340 MD=0.321] | Lp=3.10 | n_eval=8
[Gen  19 | FE= 252/ 300] p_err=0.033 | 指标=I_eps+ | score=2(极优) | Pw=[SDE=0.343 I+=0.343 MD=0.314] | Lp=3.10 | n_eval=8
[Gen  19 | FE= 252/ 300] p_err=0.056 | 指标=MD     | score=2(极优) | Pw=[SDE=0.340 I+=0.340 MD=0.321] | Lp=4.20 | n_eval=8
[Gen  19 | FE= 252/ 300] p_err=0.055 | 指标=SDE    | score=2(极优) | Pw=[SDE=0.350 I+=0.350 MD=0.300] | Lp=4.20 | n_eval=8
[Gen  19 | FE= 252/ 300] p_err=0.041 | 指标=SDE    | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=3.10 | n_eval=8
[Gen  20 | FE= 260/ 300] p_err=0.216 | 指标=I_eps+ | score=2(极优) | Pw=[SDE=0.340 I+=0.340 MD=0.319] | Lp=3.10 | n_eval=8
[Gen  20 | FE= 260/ 300] p_err=0.085 | 指标=SDE    | score=2(极优) | Pw=[SDE=0.338 I+=0.338 MD=0.323] | Lp=3.10 | n_eval=8
[Gen  19 | FE= 252/ 300] p_err=0.074 | 指标=I_eps+ | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=3.10 | n_eval=8
[Gen  20 | FE= 260/ 300] p_err=0.020 | 指标=MD     | score=2(极优) | Pw=[SDE=0.343 I+=0.343 MD=0.314] | Lp=3.10 | n_eval=8
[Gen  20 | FE= 260/ 300] p_err=0.033 | 指标=I_eps+ | score=2(极优) | Pw=[SDE=0.340 I+=0.340 MD=0.319] | Lp=4.20 | n_eval=8
[Gen  20 | FE= 260/ 300] p_err=0.043 | 指标=MD     | score=2(极优) | Pw=[SDE=0.350 I+=0.350 MD=0.300] | Lp=3.10 | n_eval=8
[Gen  20 | FE= 260/ 300] p_err=0.029 | 指标=MD     | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=3.10 | n_eval=8
[Gen  21 | FE= 268/ 300] p_err=0.177 | 指标=SDE    | score=2(极优) | Pw=[SDE=0.340 I+=0.340 MD=0.319] | Lp=3.10 | n_eval=8
[Gen  21 | FE= 268/ 300] p_err=0.118 | 指标=I_eps+ | score=2(极优) | Pw=[SDE=0.339 I+=0.339 MD=0.322] | Lp=4.20 | n_eval=8
[Gen  20 | FE= 260/ 300] p_err=0.000 | 指标=MD     | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=2.40 | n_eval=8
[Gen  21 | FE= 268/ 300] p_err=0.070 | 指标=SDE    | score=2(极优) | Pw=[SDE=0.345 I+=0.345 MD=0.310] | Lp=3.10 | n_eval=8
[Gen  21 | FE= 268/ 300] p_err=0.020 | 指标=SDE    | score=2(极优) | Pw=[SDE=0.340 I+=0.340 MD=0.319] | Lp=4.20 | n_eval=8
[Gen  21 | FE= 268/ 300] p_err=0.086 | 指标=SDE    | score=1(中  ) | Pw=[SDE=0.333 I+=0.359 MD=0.308] | Lp=4.20 | n_eval=8
[Gen  22 | FE= 276/ 300] p_err=0.098 | 指标=I_eps+ | score=2(极优) | Pw=[SDE=0.339 I+=0.339 MD=0.322] | Lp=4.20 | n_eval=8
[Gen  21 | FE= 268/ 300] p_err=0.058 | 指标=I_eps+ | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=3.10 | n_eval=8
[Gen  22 | FE= 276/ 300] p_err=0.038 | 指标=MD     | score=2(极优) | Pw=[SDE=0.340 I+=0.340 MD=0.321] | Lp=2.40 | n_eval=8
[Gen  21 | FE= 268/ 300] p_err=0.030 | 指标=SDE    | score=2(极优) | Pw=[SDE=0.333 I+=0.333 MD=0.333] | Lp=3.10 | n_eval=8
[Gen  22 | FE= 276/ 300] p_err=0.039 | 指标=MD     | score=2(极优) | Pw=[SDE=0.343 I+=0.343 MD=0.314] | Lp=3.10 | n_eval=8
[Gen  22 | FE= 276/ 300] p_err=0.036 | 指标=MD     | score=1(中  ) | Pw=[SDE=0.346 I+=0.346 MD=0.308] | Lp=4.20 | n_eval=8
[Gen  22 | FE= 276/ 300] p_err=0.104 | 指标=SDE    | score=2(极优) | Pw=[SDE=0.338 I+=0.361 MD=0.301] | Lp=4.20 | n_eval=8
