Problem,Run,IGDp_first,IGDp_final,IGDrelCheck
DTLZ5,6,0.812272164363356,0.367796419607553,0
DTLZ5,7,0.760947251429711,0.519219589345327,0
DTLZ5,8,0.719429520633002,0.366809568691444,0
DTLZ5,9,0.857709028879629,0.305326006859363,0
DTLZ5,10,0.895044776130766,0.376982596561148,0
DTLZ5,11,0.691169028182231,0.342255095084341,0
DTLZ5,12,0.836612896847963,0.541964636238834,0
DTLZ5,13,0.736234311321123,0.475933955528949,0
DTLZ5,14,0.68808027282572,0.439077849545117,0
DTLZ5,15,0.770197449440162,0.405682979489335,0
DTLZ5,16,0.850336774291955,0.328199818084587,0
DTLZ5,17,0.900087681536521,0.571371271881118,0
DTLZ5,18,0.884267764281114,0.418990674376299,0
DTLZ5,19,0.691811119558196,0.323000677897343,0
DTLZ5,20,0.829485845059354,0.637855148183751,0
DTLZ6,1,13.6195329895469,10.7400076964196,0
DTLZ6,2,13.5984613494622,12.2605268784934,0
DTLZ6,3,13.7400130180627,12.0953680476868,0
DTLZ6,4,13.2283133302052,11.8279834812402,0
DTLZ6,5,13.7226042529218,11.1612397068478,0
DTLZ6,6,13.9475637552296,10.5742733908837,0
DTLZ6,7,13.8865129447951,11.1793476918505,0
DTLZ6,8,13.6612627728312,9.91864554033211,0
DTLZ6,9,13.7374429708935,11.13437228932,0
DTLZ6,10,13.9141532992335,10.5463738469171,0
DTLZ6,11,13.6868967162046,10.5391605775619,0
DTLZ6,12,13.668032098847,11.7814195499539,0
DTLZ6,13,13.6504105255737,10.8673230831131,0
DTLZ6,14,13.8052937218697,10.1593798016115,0
DTLZ6,15,13.8855319139599,11.214221928466,0
DTLZ6,16,13.8724452562341,11.2812049362883,0
DTLZ6,17,13.8764635835654,11.1331261474961,0
DTLZ6,18,13.7625956361725,10.3055761150472,0
DTLZ6,19,13.8289951637916,11.8613541047336,0
DTLZ6,20,13.6391724270166,10.7416134461053,0
DTLZ7,1,48.9256580405599,22.3254066649871,0
DTLZ7,2,47.0153345268522,20.5238286712226,0
DTLZ7,3,39.6018830384233,18.4618167104415,0
DTLZ7,4,48.4894462988041,16.3045060866414,0
DTLZ7,5,49.0172431778664,19.2733245344894,0
DTLZ7,6,42.1485436255017,18.5982573656406,0
DTLZ7,7,41.1611612400984,19.2049127150803,0
DTLZ7,8,45.1482746012754,20.4963233095288,0
DTLZ7,9,44.089765607513,24.4323312575228,0
DTLZ7,10,44.0440372934356,18.5280107785979,0
DTLZ7,11,42.543772595018,16.5087358745854,0
DTLZ7,12,45.965677568611,22.0243888698928,0
DTLZ7,13,43.8992384264275,17.3246883006598,0
DTLZ7,14,39.1738303665768,17.0285735669813,0
DTLZ7,15,46.2553395354671,13.1481695780465,0
DTLZ7,16,51.9906342156036,16.545066766235,0
DTLZ7,17,47.7741966199057,21.492497273096,0
DTLZ7,18,41.0450119043328,14.9104408201126,0
DTLZ7,19,46.5404269542235,16.0390542886543,0
