problem,M,run,stage,gen,ratio,mean_conf,acc_conv,acc_hyb,auc_conv,auc_hyb,auc_pair_conv,auc_pair_hyb,acc_pair_conv,acc_pair_hyb,n_pairs
DTLZ2,20,2,4,10,0.833333333333333,0.533724625176509,0.7,0.7,0.705238095238095,0.657142857142857,0.61186064516129,0.588242908346134,0.53030303030303,0.53030303030303,9900
DTLZ2,20,2,5,20,1,0.51540806635856,0.62,0.6,0.771646859083192,0.72,0.670683383602044,0.636005813953488,0.451111111111111,0.434343434343434,9900
DTLZ2,20,3,1,0,0.333333333333333,0.566338468331699,0.82,0.66,0.706639566395664,0.643048128342246,0.621639512078686,0.580320897785965,0.685454545454545,0.488282828282828,9900
DTLZ2,20,3,2,2,0.5,0.487482191915769,0.76,0.72,0.46984649122807,0.45734126984127,0.477871122398347,0.480026768129745,0.602424242424242,0.553131313131313,9900
DTLZ2,20,3,3,5,0.666666666666667,0.469994122033864,0.9,0.74,0.447777777777778,0.443866943866944,0.471130837669968,0.476824008424502,0.813131313131313,0.577171717171717,9900
DTLZ2,20,3,4,10,0.833333333333333,0.529531773957318,0.7,0.72,0.691904761904762,0.655753968253968,0.618957828981055,0.607228220596336,0.53030303030303,0.553131313131313,9900
DTLZ2,20,3,5,20,1,0.49414713225807,0.68,0.66,0.627297794117647,0.566399286987522,0.594587881725262,0.553587473647399,0.508686868686869,0.488282828282828,9900
DTLZ2,20,4,1,0,0.333333333333333,0.54605725513614,0.76,0.68,0.601973684210526,0.655790441176471,0.545942490989296,0.582019002654571,0.602424242424242,0.508686868686869,9900
DTLZ2,20,4,2,2,0.5,0.46751607320124,0.8,0.66,0.524375,0.432263814616756,0.539190045248869,0.480410586873052,0.656565656565657,0.488282828282828,9900
DTLZ2,20,4,3,5,0.666666666666667,0.46882103972409,0.76,0.7,0.433114035087719,0.41,0.464215169063159,0.457383225806452,0.602424242424242,0.53030303030303,9900
