Problem,M,Run,Seed,Stage,anchor_margin,score_hybrid,score_v,Hybrid - Direction,Hybrid - Margin
DTLZ2,10,24,11024,"S4_(0.75,1.00]",0.624761904761905,0.672380952380952,0.683809523809524,-0.01142857142857201,0.047619047619047006
DTLZ2,10,25,11025,"S1_[0,0.25]",0.176,0.144,0.08,0.06399999999999999,-0.032
DTLZ2,10,25,11025,"S2_(0.25,0.50]",0.205714285714286,0.104761904761905,0.108571428571429,-0.0038095238095239986,-0.10095238095238099
DTLZ2,10,25,11025,"S3_(0.50,0.75]",0.256,0.298,0.312,-0.014000000000000012,0.04199999999999998
DTLZ2,10,25,11025,"S4_(0.75,1.00]",0.563809523809524,0.67047619047619,0.723809523809524,-0.05333333333333401,0.10666666666666602
DTLZ2,20,1,12001,"S1_[0,0.25]",0.0,0.144,0.136,0.00799999999999998,0.144
DTLZ2,20,1,12001,"S2_(0.25,0.50]",0.123809523809524,0.219047619047619,0.186666666666667,0.03238095238095198,0.095238095238095
DTLZ2,20,1,12001,"S3_(0.50,0.75]",0.388,0.416,0.354,0.062,0.02799999999999997
DTLZ2,20,1,12001,"S4_(0.75,1.00]",0.603809523809524,0.630476190476191,0.662857142857143,-0.032380952380952066,0.02666666666666695
DTLZ2,20,2,12002,"S1_[0,0.25]",0.0,0.032,0.032,0.0,0.032
DTLZ2,20,2,12002,"S2_(0.25,0.50]",0.0304761904761905,0.0876190476190476,0.106666666666667,-0.01904761904761941,0.05714285714285709
DTLZ2,20,2,12002,"S3_(0.50,0.75]",0.166,0.392,0.394,-0.0020000000000000018,0.226
DTLZ2,20,2,12002,"S4_(0.75,1.00]",0.567619047619048,0.664761904761905,0.702857142857143,-0.03809523809523796,0.09714285714285698
DTLZ2,20,3,12003,"S1_[0,0.25]",0.12,0.112,0.112,0.0,-0.007999999999999993
DTLZ2,20,3,12003,"S2_(0.25,0.50]",0.154285714285714,0.213333333333333,0.236190476190476,-0.02285714285714302,0.05904761904761899
DTLZ2,20,3,12003,"S3_(0.50,0.75]",0.368,0.5,0.468,0.03199999999999997,0.132
DTLZ2,20,3,12003,"S4_(0.75,1.00]",0.678095238095238,0.748571428571429,0.771428571428572,-0.02285714285714302,0.07047619047619103
DTLZ2,20,4,12004,"S1_[0,0.25]",0.032,0.096,0.104,-0.007999999999999993,0.064
DTLZ2,20,4,12004,"S2_(0.25,0.50]",0.0666666666666667,0.12,0.182857142857143,-0.062857142857143,0.0533333333333333
DTLZ2,20,4,12004,"S3_(0.50,0.75]",0.126,0.118,0.24,-0.122,-0.008000000000000007
DTLZ2,20,4,12004,"S4_(0.75,1.00]",0.531428571428571,0.586666666666667,0.632380952380952,-0.04571428571428504,0.055238095238095974
DTLZ2,20,5,12005,"S1_[0,0.25]",0.064,0.08,0.08,0.0,0.016
DTLZ2,20,5,12005,"S2_(0.25,0.50]",0.180952380952381,0.297142857142857,0.264761904761905,0.03238095238095201,0.11619047619047598
DTLZ2,20,5,12005,"S3_(0.50,0.75]",0.282,0.318,0.278,0.03999999999999998,0.03600000000000003
DTLZ2,20,5,12005,"S4_(0.75,1.00]",0.447619047619048,0.436190476190476,0.518095238095238,-0.08190476190476204,-0.01142857142857201
DTLZ2,20,6,12006,"S1_[0,0.25]",0.016,0.04,0.04,0.0,0.024
DTLZ2,20,6,12006,"S2_(0.25,0.50]",0.0666666666666667,0.12,0.110476190476191,0.00952380952380899,0.0533333333333333
DTLZ2,20,6,12006,"S3_(0.50,0.75]",0.172,0.302,0.282,0.020000000000000018,0.13
DTLZ2,20,6,12006,"S4_(0.75,1.00]",0.611428571428571,0.780952380952381,0.771428571428572,0.009523809523808935,0.16952380952380997
DTLZ2,20,7,12007,"S1_[0,0.25]",0.08,0.024,0.016,0.008,-0.056
DTLZ2,20,7,12007,"S2_(0.25,0.50]",0.060952380952381,0.0723809523809524,0.0628571428571428,0.009523809523809601,0.011428571428571406
DTLZ2,20,7,12007,"S3_(0.50,0.75]",0.158,0.306,0.3,0.006000000000000005,0.148
DTLZ2,20,7,12007,"S4_(0.75,1.00]",0.56,0.683809523809524,0.672380952380952,0.01142857142857201,0.12380952380952392
DTLZ2,20,8,12008,"S1_[0,0.25]",0.056,0.12,0.128,-0.008000000000000007,0.064
DTLZ2,20,8,12008,"S2_(0.25,0.50]",0.123809523809524,0.247619047619048,0.190476190476191,0.057142857142856995,0.123809523809524
DTLZ2,20,8,12008,"S3_(0.50,0.75]",0.202,0.242,0.232,0.009999999999999981,0.03999999999999998
DTLZ2,20,8,12008,"S4_(0.75,1.00]",0.552380952380952,0.60952380952381,0.620952380952381,-0.01142857142857101,0.05714285714285805
DTLZ2,20,9,12009,"S1_[0,0.25]",0.104,0.336,0.32,0.016000000000000014,0.23200000000000004
DTLZ2,20,9,12009,"S2_(0.25,0.50]",0.24,0.300952380952381,0.251428571428572,0.049523809523809026,0.060952380952381036
DTLZ2,20,9,12009,"S3_(0.50,0.75]",0.246,0.264,0.274,-0.010000000000000009,0.018000000000000016
DTLZ2,20,9,12009,"S4_(0.75,1.00]",0.462857142857143,0.506666666666667,0.468571428571429,0.038095238095238015,0.04380952380952402
DTLZ2,20,10,12010,"S1_[0,0.25]",0.0,0.064,0.064,0.0,0.064
DTLZ2,20,10,12010,"S2_(0.25,0.50]",0.121904761904762,0.180952380952381,0.161904761904762,0.019047619047619008,0.059047619047619
DTLZ2,20,10,12010,"S3_(0.50,0.75]",0.362,0.35,0.358,-0.008000000000000007,-0.01200000000000001
DTLZ2,20,10,12010,"S4_(0.75,1.00]",0.660952380952381,0.64952380952381,0.653333333333333,-0.003809523809523041,-0.01142857142857101
DTLZ2,20,11,12011,"S1_[0,0.25]",0.072,0.136,0.136,0.0,0.06400000000000002
DTLZ2,20,11,12011,"S2_(0.25,0.50]",0.116190476190476,0.20952380952381,0.207619047619048,0.0019047619047619924,0.093333333333334
DTLZ2,20,11,12011,"S3_(0.50,0.75]",0.25,0.336,0.368,-0.03199999999999997,0.08600000000000002
DTLZ2,20,11,12011,"S4_(0.75,1.00]",0.508571428571429,0.664761904761905,0.659047619047619,0.005714285714286005,0.156190476190476
DTLZ2,20,12,12012,"S1_[0,0.25]",0.0,0.048,0.048,0.0,0.048
DTLZ2,20,12,12012,"S2_(0.25,0.50]",0.0495238095238095,0.146666666666667,0.156190476190476,-0.00952380952380899,0.0971428571428575
DTLZ2,20,12,12012,"S3_(0.50,0.75]",0.198,0.374,0.338,0.035999999999999976,0.176
DTLZ2,20,12,12012,"S4_(0.75,1.00]",0.664761904761905,0.700952380952381,0.691428571428571,0.009523809523810045,0.036190476190475995
DTLZ2,20,13,12013,"S1_[0,0.25]",0.008,0.04,0.032,0.008,0.032
