M,Problem,Algorithm,Run,Snapshots,FirstFE,LastFE,FinalIGD
10,WFG1,REMO_UniformMix_Pruned_Weighted_Lambdat030,1,30,100,300,3.233734805
10,WFG1,REMO_UniformMix_Pruned_Weighted_Lambdat030,10,30,100,300,3.112981171
10,WFG1,REMO_UniformMix_Pruned_Weighted_Lambdat030,11,30,100,300,3.144179808
10,WFG1,REMO_UniformMix_Pruned_Weighted_Lambdat030,12,30,100,300,3.089041941
10,WFG1,REMO_UniformMix_Pruned_Weighted_Lambdat030,13,30,100,300,3.205757723
10,WFG1,REMO_UniformMix_Pruned_Weighted_Lambdat030,14,30,100,300,3.175102858
10,WFG1,REMO_UniformMix_Pruned_Weighted_Lambdat030,15,30,100,300,3.174174069
10,WFG1,REMO_UniformMix_Pruned_Weighted_Lambdat030,16,30,100,300,3.113682978
10,WFG1,REMO_UniformMix_Pruned_Weighted_Lambdat030,17,30,100,300,3.166291879
10,WFG1,REMO_UniformMix_Pruned_Weighted_Lambdat030,18,30,100,300,3.171340206
10,WFG1,REMO_UniformMix_Pruned_Weighted_Lambdat030,19,30,100,300,3.201232051
10,WFG1,REMO_UniformMix_Pruned_Weighted_Lambdat030,2,30,100,300,3.171800883
10,WFG1,REMO_UniformMix_Pruned_Weighted_Lambdat030,20,30,100,300,3.133022038
10,WFG1,REMO_UniformMix_Pruned_Weighted_Lambdat030,3,30,100,300,3.183178151
10,WFG1,REMO_UniformMix_Pruned_Weighted_Lambdat030,4,30,100,300,3.173722305
10,WFG1,REMO_UniformMix_Pruned_Weighted_Lambdat030,5,30,100,300,3.194215907
10,WFG1,REMO_UniformMix_Pruned_Weighted_Lambdat030,6,30,100,300,3.212196926
10,WFG1,REMO_UniformMix_Pruned_Weighted_Lambdat030,7,30,100,300,3.206425661
10,WFG1,REMO_UniformMix_Pruned_Weighted_Lambdat030,8,30,100,300,3.16028193
10,WFG1,REMO_UniformMix_Pruned_Weighted_Lambdat030,9,30,100,300,3.167459851
10,WFG6,REMO_UniformMix_Pruned_Weighted_Lambdat030,1,30,100,300,5.157030011
10,WFG6,REMO_UniformMix_Pruned_Weighted_Lambdat030,10,30,100,300,4.938543286
10,WFG6,REMO_UniformMix_Pruned_Weighted_Lambdat030,11,30,100,300,4.993068016
10,WFG6,REMO_UniformMix_Pruned_Weighted_Lambdat030,12,30,100,300,5.173500194
10,WFG6,REMO_UniformMix_Pruned_Weighted_Lambdat030,13,30,100,300,5.079111186
10,WFG6,REMO_UniformMix_Pruned_Weighted_Lambdat030,14,30,100,300,4.982893273
10,WFG6,REMO_UniformMix_Pruned_Weighted_Lambdat030,15,30,100,300,5.16940552
10,WFG6,REMO_UniformMix_Pruned_Weighted_Lambdat030,16,30,100,300,5.272543103
10,WFG6,REMO_UniformMix_Pruned_Weighted_Lambdat030,17,30,100,300,5.198788201
10,WFG6,REMO_UniformMix_Pruned_Weighted_Lambdat030,18,30,100,300,5.198983104
10,WFG6,REMO_UniformMix_Pruned_Weighted_Lambdat030,19,30,100,300,5.558877265
10,WFG6,REMO_UniformMix_Pruned_Weighted_Lambdat030,2,30,100,300,5.326137498
10,WFG6,REMO_UniformMix_Pruned_Weighted_Lambdat030,20,30,100,300,5.254973044
10,WFG6,REMO_UniformMix_Pruned_Weighted_Lambdat030,3,30,100,300,5.295205964
10,WFG6,REMO_UniformMix_Pruned_Weighted_Lambdat030,4,30,100,300,5.618319495
10,WFG6,REMO_UniformMix_Pruned_Weighted_Lambdat030,5,30,100,300,5.198750122
10,WFG6,REMO_UniformMix_Pruned_Weighted_Lambdat030,6,30,100,300,5.693880341
10,WFG6,REMO_UniformMix_Pruned_Weighted_Lambdat030,7,30,100,300,5.305011985
10,WFG6,REMO_UniformMix_Pruned_Weighted_Lambdat030,8,30,100,300,5.421612622
10,WFG6,REMO_UniformMix_Pruned_Weighted_Lambdat030,9,30,100,300,5.032265905
10,WFG7,REMO_UniformMix_Pruned_Weighted_Lambdat030,1,30,100,300,5.176969269
10,WFG7,REMO_UniformMix_Pruned_Weighted_Lambdat030,10,30,100,300,5.119969019
10,WFG7,REMO_UniformMix_Pruned_Weighted_Lambdat030,11,30,100,300,5.636145204
10,WFG7,REMO_UniformMix_Pruned_Weighted_Lambdat030,12,30,100,300,5.33896792
10,WFG7,REMO_UniformMix_Pruned_Weighted_Lambdat030,13,30,100,300,5.081606284
10,WFG7,REMO_UniformMix_Pruned_Weighted_Lambdat030,14,30,100,300,5.087399167
10,WFG7,REMO_UniformMix_Pruned_Weighted_Lambdat030,15,30,100,300,5.338668539
10,WFG7,REMO_UniformMix_Pruned_Weighted_Lambdat030,16,30,100,300,5.290232687
10,WFG7,REMO_UniformMix_Pruned_Weighted_Lambdat030,17,30,100,300,4.873257805
10,WFG7,REMO_UniformMix_Pruned_Weighted_Lambdat030,18,30,100,300,5.741377566
10,WFG7,REMO_UniformMix_Pruned_Weighted_Lambdat030,19,30,100,300,5.029467281
10,WFG7,REMO_UniformMix_Pruned_Weighted_Lambdat030,2,30,100,300,4.838862881
10,WFG7,REMO_UniformMix_Pruned_Weighted_Lambdat030,20,30,100,300,5.287395295
10,WFG7,REMO_UniformMix_Pruned_Weighted_Lambdat030,3,30,100,300,5.53814678
10,WFG7,REMO_UniformMix_Pruned_Weighted_Lambdat030,4,30,100,300,5.103718161
10,WFG7,REMO_UniformMix_Pruned_Weighted_Lambdat030,5,30,100,300,5.267489777
10,WFG7,REMO_UniformMix_Pruned_Weighted_Lambdat030,6,30,100,300,5.345220805
10,WFG7,REMO_UniformMix_Pruned_Weighted_Lambdat030,7,30,100,300,5.505163032
10,WFG7,REMO_UniformMix_Pruned_Weighted_Lambdat030,8,30,100,300,5.113620419
10,WFG7,REMO_UniformMix_Pruned_Weighted_Lambdat030,9,30,100,300,5.301635357
10,WFG8,REMO_UniformMix_Pruned_Weighted_Lambdat030,1,30,100,300,5.581024562
10,WFG8,REMO_UniformMix_Pruned_Weighted_Lambdat030,10,30,100,300,5.76645256
10,WFG8,REMO_UniformMix_Pruned_Weighted_Lambdat030,11,30,100,300,5.612984272
10,WFG8,REMO_UniformMix_Pruned_Weighted_Lambdat030,12,30,100,300,5.611454651
10,WFG8,REMO_UniformMix_Pruned_Weighted_Lambdat030,13,30,100,300,5.713276378
10,WFG8,REMO_UniformMix_Pruned_Weighted_Lambdat030,14,30,100,300,6.075403023
10,WFG8,REMO_UniformMix_Pruned_Weighted_Lambdat030,15,30,100,300,5.598191983
10,WFG8,REMO_UniformMix_Pruned_Weighted_Lambdat030,16,30,100,300,5.572575993
10,WFG8,REMO_UniformMix_Pruned_Weighted_Lambdat030,17,30,100,300,6.065310733
10,WFG8,REMO_UniformMix_Pruned_Weighted_Lambdat030,18,30,100,300,5.835846724
10,WFG8,REMO_UniformMix_Pruned_Weighted_Lambdat030,19,30,100,300,5.511298894
10,WFG8,REMO_UniformMix_Pruned_Weighted_Lambdat030,2,30,100,300,5.815877998
10,WFG8,REMO_UniformMix_Pruned_Weighted_Lambdat030,20,30,100,300,5.703353947
10,WFG8,REMO_UniformMix_Pruned_Weighted_Lambdat030,3,30,100,300,6.323783633
10,WFG8,REMO_UniformMix_Pruned_Weighted_Lambdat030,4,30,100,300,5.601275866
10,WFG8,REMO_UniformMix_Pruned_Weighted_Lambdat030,5,30,100,300,5.470386289
10,WFG8,REMO_UniformMix_Pruned_Weighted_Lambdat030,6,30,100,300,6.347559806
10,WFG8,REMO_UniformMix_Pruned_Weighted_Lambdat030,7,30,100,300,5.570183753
10,WFG8,REMO_UniformMix_Pruned_Weighted_Lambdat030,8,30,100,300,5.651031935
10,WFG8,REMO_UniformMix_Pruned_Weighted_Lambdat030,9,30,100,300,5.332424861
15,WFG1,REMO,1,30,100,303,4.046385609
15,WFG1,REMO,10,30,100,309,4.063364913
15,WFG1,REMO,11,30,100,301,4.240066094
15,WFG1,REMO,12,30,100,303,3.850257053
15,WFG1,REMO,13,30,100,302,4.212814649
15,WFG1,REMO,14,30,100,300,4.181466227
15,WFG1,REMO,15,30,100,300,4.226348095
15,WFG1,REMO,16,30,100,301,4.239797168
15,WFG1,REMO,17,30,100,302,4.181003679
15,WFG1,REMO,18,30,100,301,4.098594395
15,WFG1,REMO,19,30,100,303,4.126247035
15,WFG1,REMO,2,26,100,305,4.053464741
15,WFG1,REMO,20,30,100,300,4.237125134
15,WFG1,REMO,21,30,100,300,4.197222532
15,WFG1,REMO,22,30,100,303,4.178613952
15,WFG1,REMO,23,30,100,302,4.168082087
15,WFG1,REMO,24,30,100,303,4.196767736
15,WFG1,REMO,25,30,100,300,4.184619714
15,WFG1,REMO,26,30,100,303,4.260745586
15,WFG1,REMO,27,30,100,304,4.150350518
15,WFG1,REMO,28,28,100,302,4.050356822
15,WFG1,REMO,29,30,100,301,4.292613532
15,WFG1,REMO,3,29,100,301,4.071540581
15,WFG1,REMO,30,30,100,305,4.225593045
15,WFG1,REMO,4,30,100,302,4.176527242
15,WFG1,REMO,5,28,100,303,4.177994522
15,WFG1,REMO,6,30,100,300,4.17827261
15,WFG1,REMO,7,30,100,302,4.064499023
15,WFG1,REMO,8,26,100,303,3.984798802
15,WFG1,REMO,9,30,100,302,4.172778899
15,WFG6,REMO,1,30,100,300,15.119899
15,WFG6,REMO,10,30,100,301,16.18464519
15,WFG6,REMO,11,30,100,300,12.38034214
15,WFG6,REMO,12,30,100,300,14.30942428
15,WFG6,REMO,13,30,100,301,14.24296493
15,WFG6,REMO,14,30,100,300,13.92488775
15,WFG6,REMO,15,30,100,300,11.96954043
15,WFG6,REMO,16,30,100,300,15.00818059
15,WFG6,REMO,17,30,100,301,13.27075621
15,WFG6,REMO,18,30,100,302,14.48122731
15,WFG6,REMO,19,30,100,300,14.51329516
15,WFG6,REMO,2,30,100,301,14.69930562
15,WFG6,REMO,20,30,100,300,14.68769662
15,WFG6,REMO,21,30,100,301,13.03740641
15,WFG6,REMO,22,30,100,300,15.10449008
15,WFG6,REMO,23,30,100,300,14.64767685
15,WFG6,REMO,24,30,100,301,11.73045001
15,WFG6,REMO,25,30,100,300,15.3556582
15,WFG6,REMO,26,30,100,300,13.98466584
15,WFG6,REMO,27,30,100,300,13.84771766
15,WFG6,REMO,28,30,100,300,15.79310201
15,WFG6,REMO,29,30,100,300,14.69606181
15,WFG6,REMO,3,30,100,301,12.26659726
15,WFG6,REMO,30,30,100,300,15.76908487
15,WFG6,REMO,4,30,100,301,15.04759351
15,WFG6,REMO,5,30,100,301,14.59240802
15,WFG6,REMO,6,30,100,302,13.14313272
15,WFG6,REMO,7,30,100,300,15.31673388
15,WFG6,REMO,8,30,100,302,12.31487479
15,WFG6,REMO,9,30,100,300,13.60803639
15,WFG7,REMO,1,30,100,302,15.19402166
15,WFG7,REMO,10,30,100,300,15.78647093
15,WFG7,REMO,11,30,100,303,14.9355573
15,WFG7,REMO,12,30,100,303,15.42568118
15,WFG7,REMO,13,30,100,300,15.30401494
15,WFG7,REMO,14,30,100,303,14.00734408
15,WFG7,REMO,15,30,100,300,13.46793716
15,WFG7,REMO,16,30,100,302,16.42630997
15,WFG7,REMO,17,30,100,300,12.94851564
15,WFG7,REMO,18,30,100,302,15.26716788
15,WFG7,REMO,19,30,100,300,13.56617026
15,WFG7,REMO,2,30,100,300,14.46681225
15,WFG7,REMO,20,30,100,300,14.41812456
15,WFG7,REMO,21,30,100,303,13.44736363
15,WFG7,REMO,22,30,100,300,15.30680347
15,WFG7,REMO,23,30,100,300,13.80869875
15,WFG7,REMO,24,30,100,301,15.52844141
15,WFG7,REMO,25,30,100,300,13.27522356
15,WFG7,REMO,26,30,100,301,15.67476939
15,WFG7,REMO,27,30,100,300,13.58240055
15,WFG7,REMO,28,30,100,303,13.28371095
15,WFG7,REMO,29,30,100,302,12.7933208
15,WFG7,REMO,3,30,100,300,13.32088433
15,WFG7,REMO,30,30,100,303,15.85925683
15,WFG7,REMO,4,30,100,301,13.21740618
15,WFG7,REMO,5,30,100,301,14.49796707
15,WFG7,REMO,6,30,100,300,14.07977753
15,WFG7,REMO,7,30,100,303,14.39265716
15,WFG7,REMO,8,30,100,300,16.54080439
15,WFG7,REMO,9,30,100,302,13.37066951
15,WFG8,REMO,1,30,100,301,14.05673603
15,WFG8,REMO,10,30,100,301,14.6233113
15,WFG8,REMO,11,30,100,301,13.35958151
15,WFG8,REMO,12,30,100,300,13.25678592
15,WFG8,REMO,13,30,100,301,12.92800697
15,WFG8,REMO,14,30,100,302,13.88999982
15,WFG8,REMO,15,30,100,301,13.56293993
15,WFG8,REMO,16,30,100,300,16.13292411
15,WFG8,REMO,17,30,100,300,14.54803522
15,WFG8,REMO,18,30,100,301,14.47282387
15,WFG8,REMO,19,30,100,300,14.13277409
15,WFG8,REMO,2,30,100,300,14.62198028
15,WFG8,REMO,20,30,100,301,14.43192139
15,WFG8,REMO,21,30,100,300,15.96034665
15,WFG8,REMO,22,30,100,302,14.28368977
15,WFG8,REMO,23,30,100,301,13.73204321
15,WFG8,REMO,24,30,100,303,15.41985591
15,WFG8,REMO,25,30,100,301,14.15653392
15,WFG8,REMO,26,30,100,300,13.72082438
15,WFG8,REMO,27,30,100,300,14.44101494
15,WFG8,REMO,28,30,100,302,14.93925802
15,WFG8,REMO,29,30,100,301,15.94301522
15,WFG8,REMO,3,30,100,301,12.96672288
15,WFG8,REMO,30,30,100,300,15.76045974
15,WFG8,REMO,4,30,100,300,14.58715302
15,WFG8,REMO,5,30,100,302,13.53067448
15,WFG8,REMO,6,30,100,302,15.41209808
15,WFG8,REMO,7,30,100,301,14.84072754
15,WFG8,REMO,8,30,100,302,15.20590325
15,WFG8,REMO,9,30,100,300,14.66134253
15,WFG1,PIEA,1,30,100,300,4.285977368
15,WFG1,PIEA,10,30,100,300,4.217890232
15,WFG1,PIEA,11,30,100,300,4.228315653
15,WFG1,PIEA,12,30,100,300,4.284249034
15,WFG1,PIEA,13,30,100,300,4.329282309
15,WFG1,PIEA,14,30,100,300,4.213174245
15,WFG1,PIEA,15,30,100,300,4.296162032
15,WFG1,PIEA,16,30,100,300,4.246714977
15,WFG1,PIEA,17,30,100,300,4.289659398
15,WFG1,PIEA,18,30,100,300,4.239885819
