M,Problem,Comparator,Comparator_mean,Comparator_SD,HPDC_mean,HPDC_SD,IGD_ratio,log2_ratio,source_symbol
10,WFG7,R2AEA,6.4875,0.409,5.2969,0.257,0.8164778420038535,-0.2925143611701094,-
10,WFG7,PCSAEA,7.8445,0.381,5.2969,0.257,0.6752374274969724,-0.5665332219918914,-
10,WFG7,KRVEA,7.8642,0.42,5.2969,0.257,0.6735459423717606,-0.5701517400366716,-
10,WFG7,CSEA,7.3904,0.615,5.2969,0.257,0.7167271054340767,-0.4805041789991782,-
10,WFG8,REMO,7.0559,0.506,5.693,0.266,0.8068425006023328,-0.30964101466319743,-
10,WFG8,PIEA,6.3573,0.499,5.693,0.266,0.895505953785412,-0.1592250708635802,-
10,WFG8,MCEAD,7.4671,0.472,5.693,0.266,0.7624111100695048,-0.3913589521277126,-
10,WFG8,R2AEA,5.5601,0.119,5.693,0.266,1.0239024477977015,0.034078269261082775,=
10,WFG8,PCSAEA,7.5364,0.273,5.693,0.266,0.755400456451356,-0.4046864393593313,-
10,WFG8,KRVEA,7.4984,0.301,5.693,0.266,0.7592286354422276,-0.39739368810340614,-
10,WFG8,CSEA,7.7877,0.346,5.693,0.266,0.7310245643771588,-0.45200820948983855,-
10,WFG9,REMO,7.6476,0.761,6.3788,0.611,0.8340917411998536,-0.2617220214152519,-
10,WFG9,PIEA,5.793,0.372,6.3788,0.611,1.101122043846021,0.13897438015887895,+
10,WFG9,MCEAD,7.0825,0.696,6.3788,0.611,0.9006424285210025,-0.15097365143477526,-
10,WFG9,R2AEA,6.4412,0.315,6.3788,0.611,0.9903123641557473,-0.014044443291480644,=
10,WFG9,PCSAEA,7.7853,0.444,6.3788,0.611,0.8193390106996519,-0.2874675882491632,-
10,WFG9,KRVEA,7.7844,0.365,6.3788,0.611,0.8194337392734187,-0.28730079948146087,-
10,WFG9,CSEA,8.1835,0.307,6.3788,0.611,0.779470886539989,-0.35943295602942316,-
20,DTLZ1,REMO,67.408,19.3,79.755,10.9,1.1831681699501542,0.24265514612910502,+
20,DTLZ1,PIEA,93.984,18.2,79.755,10.9,0.8486018896833504,-0.23684020363349165,-
