algorithm,problem,FE_checkpoint,n,mean_IGD,sd_IGD
Weighted,DTLZ2,150,30,1.4779185399417032,0.08367128791748503
Weighted,DTLZ2,200,30,1.349472971469999,0.09669501301930818
Weighted,DTLZ2,250,30,1.2618517146695047,0.10053279394415492
Weighted,DTLZ2,300,30,1.194494427706754,0.09999650178331827
Weighted,DTLZ4,120,30,1.7748569170496502,0.10092828240703819
Weighted,DTLZ4,150,30,1.6738593233165395,0.10937323835882153
Weighted,DTLZ4,200,30,1.51938192345854,0.1177921605823555
Weighted,DTLZ4,250,30,1.379285035045082,0.11254181559163898
Weighted,DTLZ4,300,30,1.3062508358362943,0.11575717291365918
Weighted,DTLZ5,120,30,1.038460408309728,0.09944563836739899
Weighted,DTLZ5,150,30,1.0136580961153334,0.0966295892491606
Weighted,DTLZ5,200,30,0.921022640689222,0.10297248937811729
Weighted,DTLZ5,250,30,0.86574530622835,0.11469060478440894
Weighted,DTLZ5,300,30,0.801508608408058,0.11538587520629968
Weighted,DTLZ7,120,30,26.24838167914669,2.521499834833881
Weighted,DTLZ7,150,30,21.804444172759368,2.5847089885201746
Weighted,DTLZ7,200,30,15.342287093603435,2.469663011840536
Weighted,DTLZ7,250,30,11.448882564923826,1.635003293697029
Weighted,DTLZ7,300,30,8.727375847794601,1.2502012240416773
Original,DTLZ2,120,18,1.571225890109971,0.07542537101353307
Original,DTLZ2,150,18,1.4481782121728217,0.10325635696434737
Original,DTLZ2,200,18,1.304105358090216,0.11125075165023733
Original,DTLZ2,250,18,1.1825598949270422,0.09979581174596529
Original,DTLZ2,300,18,1.094627221548273,0.08879662358653115
Original,DTLZ4,120,18,1.7404928501199886,0.08308376279606766
Original,DTLZ4,150,18,1.5927055013170843,0.1185230755064986
Original,DTLZ4,200,18,1.4112535244609612,0.12104411299844008
Original,DTLZ4,250,18,1.2655356272728802,0.13068461922294627
Original,DTLZ4,300,18,1.1814016383622314,0.11240769011193652
Original,DTLZ5,120,18,1.0253523514318161,0.10793320771307055
Original,DTLZ5,150,18,0.9574377739540529,0.1274495866998009
Original,DTLZ5,200,18,0.86032161312306,0.1287357947349701
Original,DTLZ5,250,18,0.7440228102217625,0.1543874071405728
Original,DTLZ5,300,18,0.6604909494495319,0.14671639601877426
Original,DTLZ7,120,18,29.34709114094357,1.7597363915649977
Original,DTLZ7,150,18,24.78190024203376,2.391357890052465
Original,DTLZ7,200,18,19.62304295417758,3.140238716430411
Original,DTLZ7,250,18,14.513843889458839,3.001227961691134
Original,DTLZ7,300,18,12.122418678692757,2.7976910676662556
Pruned,DTLZ2,120,18,1.5801779992000138,0.125348185307379
Pruned,DTLZ2,150,18,1.4601153729845953,0.1419356794568914
Pruned,DTLZ2,200,18,1.3469115654966182,0.13395368856928783
Pruned,DTLZ2,250,18,1.2387329696854676,0.10727345256247457
Pruned,DTLZ2,300,18,1.166810631598551,0.07983887331531964
Pruned,DTLZ4,120,18,1.8171308977165757,0.08420672100714821
Pruned,DTLZ4,150,18,1.7141081857318634,0.09984278280833339
Pruned,DTLZ4,200,18,1.5721122143221646,0.10196160799630513
Pruned,DTLZ4,250,18,1.4155077030630625,0.13323166326746097
Pruned,DTLZ4,300,18,1.303760131608434,0.11189554767081887
Pruned,DTLZ5,120,18,1.0375917016177358,0.12245758719624768
Pruned,DTLZ5,150,18,1.0059702647833784,0.14157235959731032
Pruned,DTLZ5,200,18,0.93336811692129,0.1258149344310513
