comparator,problem,n_new,n_comparator,mean_new,mean_comparator,change_pct,p,p_holm4,p_holm_all,test,cliffs_delta_positive_new_better,bootstrap_ci_low_pct,bootstrap_ci_high_pct,outcome_raw,outcome_holm
PIEA,DTLZ4,10,30,1.1960947540081084,1.2340312583526445,-3.0741931444410064,0.14845859143272508,0.14845859143272508,1.0,exact,0.31333333333333335,-8.549885188335798,2.54559330845582,T,T
PIEA,DTLZ5,10,30,0.7090299835814224,0.2983353404516781,137.66208271133914,2.3594350968764233e-09,9.437740387505693e-09,1.014557091656862e-07,exact,-1.0,116.69462894978244,160.109451280893,L,L
PIEA,DTLZ7,10,30,10.271725049513112,20.06584292051892,-48.809900036596744,5.733427285409708e-06,1.7200281856229123e-05,0.00017773624584770096,exact,0.8666666666666667,-54.595600846559755,-41.496345922806675,W,W
CSEA,DTLZ2,10,30,1.142419372598361,1.2995872554238859,-12.093676832361789,0.00019723461748828768,0.0005917038524648631,0.005522569289672055,exact,0.7466666666666667,-17.1612266224895,-6.873053702481926,W,W
CSEA,DTLZ4,10,30,1.1960947540081084,1.223338951055505,-2.2270358533005297,0.4502432936219014,0.6011579531753305,1.0,exact,0.16666666666666666,-8.177466943525687,3.4972799335960434,T,T
CSEA,DTLZ5,10,30,0.7090299835814224,0.7436346027831519,-4.653443918857059,0.30057897658766525,0.6011579531753305,1.0,exact,0.22666666666666666,-13.812585408440194,5.137054455635394,T,T
CSEA,DTLZ7,10,30,10.271725049513112,27.354559593319134,-62.44967858293797,2.3594350968764233e-09,9.437740387505693e-09,1.014557091656862e-07,exact,1.0,-65.65864306008775,-58.96075530814651,W,W
PC-SAEA,DTLZ2,10,30,1.142419372598361,1.5128017236679365,-24.483205252539452,2.3594350968764233e-09,9.437740387505693e-09,1.014557091656862e-07,exact,1.0,-28.475836388533374,-20.410712870281635,W,W
PC-SAEA,DTLZ4,10,30,1.1960947540081084,1.6760983717464526,-28.63815309588258,2.3594350968764233e-09,9.437740387505693e-09,1.014557091656862e-07,exact,1.0,-32.7272432907803,-24.525945272955486,W,W
PC-SAEA,DTLZ5,10,30,0.7090299835814224,0.9749183811980056,-27.27288794061431,1.0617457935943906e-07,1.0617457935943906e-07,3.503761118861489e-06,exact,0.9533333333333334,-33.30257025422959,-20.799347077351875,W,W
PC-SAEA,DTLZ7,10,30,10.271725049513112,28.79468843247556,-64.32770900230219,2.3594350968764233e-09,9.437740387505693e-09,1.014557091656862e-07,exact,1.0,-67.26160854267432,-61.242905212014904,W,W
K-RVEA,DTLZ2,10,30,1.142419372598361,1.4255569813061766,-19.861542710722713,2.2886520439701305e-07,4.577304087940261e-07,7.323686540704418e-06,exact,0.94,-24.423041438254593,-15.094556852440634,W,W
K-RVEA,DTLZ4,10,30,1.1960947540081084,1.6232109003929958,-26.313040793496288,2.3594350968764233e-09,9.437740387505693e-09,1.014557091656862e-07,exact,1.0,-30.754834321592266,-21.73333558793379,W,W
K-RVEA,DTLZ5,10,30,0.7090299835814224,0.8966370810843991,-20.9234149981934,2.691171671497248e-05,2.691171671497248e-05,0.000780439784734202,exact,0.82,-27.662768532727963,-13.82440373045992,W,W
K-RVEA,DTLZ7,10,30,10.271725049513112,1.6495493903462553,522.6988479173082,2.3594350968764233e-09,9.437740387505693e-09,1.014557091656862e-07,exact,-1.0,466.75335416198936,583.5304061971044,L,L
MCEA/D,DTLZ2,10,30,1.142419372598361,1.0988460199824845,3.9653738397824823,0.14845859143272508,0.14845859143272508,1.0,exact,-0.31333333333333335,-1.6565333206012571,9.856722851066344,T,T
MCEA/D,DTLZ4,10,30,1.1960947540081084,1.2517332665278942,-4.444917620038813,0.010253935051697959,0.020507870103395918,0.2666023113441469,exact,0.54,-9.84681283126778,0.9461902811323817,W,W
MCEA/D,DTLZ5,10,30,0.7090299835814224,0.3590835711610081,97.45542278332285,2.3594350968764233e-09,9.437740387505693e-09,1.014557091656862e-07,exact,-1.0,78.61815497603358,117.47850287396025,L,L
MCEA/D,DTLZ7,10,30,10.271725049513112,20.930999754164123,-50.925779130690586,2.831322116251708e-08,8.493966348755124e-08,9.626495195255806e-07,exact,0.9733333333333334,-56.45896941565347,-44.51956498119682,W,W
