algorithm,problem,n,mean,sd,median,min,max,FE_min,FE_max,overshoot_runs,metadata_runs,run_ids
Original,DTLZ5,18,0.6604909494495319,0.14671639601877426,0.6784131821784019,0.45015730201810356,1.006857531921595,300.0,300.0,0,0,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18"
Original,DTLZ7,18,12.122418678692757,2.7976910676662556,12.364753120935735,7.459574581987777,17.027647798172254,300.0,300.0,0,0,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18"
Pruned,DTLZ2,18,1.166810631598551,0.07983887331531964,1.19520607704928,1.0232605087253819,1.2597201691978492,300.0,300.0,0,0,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18"
Pruned,DTLZ4,18,1.303760131608434,0.11189554767081887,1.2923422575735266,1.1306127011774036,1.5426363509307204,300.0,300.0,0,0,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18"
Pruned,DTLZ5,18,0.828481981456366,0.13308939838655512,0.8391034355757054,0.556834761097025,1.0230908734609494,300.0,300.0,0,0,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18"
Pruned,DTLZ7,18,10.491813553403832,1.9497704643569505,10.348067268428947,6.882313252119972,14.062336547866202,300.0,300.0,0,0,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18"
Weighted_Q080,DTLZ2,18,1.1808070490905147,0.10611589789467364,1.1553095941305522,0.9800930607807326,1.449380558415908,300.0,300.0,0,18,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18"
Weighted_Q080,DTLZ5,18,0.759644239857539,0.12862331324100493,0.7911434186344886,0.5209145435289441,0.9885469065462448,300.0,300.0,0,18,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18"
Weighted_Q080,DTLZ7,18,9.37427941258097,1.2230352958204387,9.684325248145063,7.204045638605277,11.246153462238995,300.0,300.0,0,18,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18"
REMO,DTLZ2,30,1.1067786968411506,0.08946525374739632,1.0991479231124726,0.8995846564498938,1.27546160394782,300.0,308.0,26,0,"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30"
