M,problem,algorithm,source_algorithm,mean,std,symbol,source_file,source_sheet,source_cell,raw
10,WFG9,CSEA,CSEA,8.1083e+0,3.39e-1,-,pruned_weight十目标.xlsx,IGD,G17,8.1083e+0 (3.39e-1) -
10,WFG9,PC-SAEA,PCSAEA_N100,7.6909e+0,4.36e-1,-,pruned_weight十目标.xlsx,IGD,H17,7.6909e+0 (4.36e-1) -
10,WFG9,K-RVEA,KRVEA_100,6.6331e+0,7.85e-1,=,pruned_weight十目标.xlsx,IGD,I17,6.6331e+0 (7.85e-1) =
10,WFG9,PACDIS,REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted,6.5188e+0,6.00e-1,,pruned_weight十目标.xlsx,IGD,J17,6.5188e+0 (6.00e-1)
15,DTLZ1,REMO,REMO,1.2263e+2,3.02e+1,+,pruned_weight十五目标.xlsx,IGD,D2,1.2263e+2 (3.02e+1) +
15,DTLZ1,PIEA,PIEA,1.6643e+2,4.12e+1,=,pruned_weight十五目标.xlsx,IGD,E2,1.6643e+2 (4.12e+1) =
15,DTLZ1,MCEA/D,MCEAD,1.3236e+2,4.16e+1,=,pruned_weight十五目标.xlsx,IGD,F2,1.3236e+2 (4.16e+1) =
15,DTLZ1,CSEA,CSEA,1.4188e+2,2.97e+1,=,pruned_weight十五目标.xlsx,IGD,G2,1.4188e+2 (2.97e+1) =
15,DTLZ1,K-RVEA,KRVEA_100,1.5920e+2,2.27e+1,=,pruned_weight十五目标.xlsx,IGD,H2,1.5920e+2 (2.27e+1) =
15,DTLZ1,PC-SAEA,PCSAEA_N100,2.4672e+2,3.68e+1,-,pruned_weight十五目标.xlsx,IGD,I2,2.4672e+2 (3.68e+1) -
15,DTLZ1,PACDIS,REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted,1.5253e+2,2.63e+1,,pruned_weight十五目标.xlsx,IGD,J2,1.5253e+2 (2.63e+1)
15,DTLZ2,REMO,REMO,1.0778e+0,5.59e-2,+,pruned_weight十五目标.xlsx,IGD,D3,1.0778e+0 (5.59e-2) +
15,DTLZ2,PIEA,PIEA,1.0915e+0,3.93e-2,+,pruned_weight十五目标.xlsx,IGD,E3,1.0915e+0 (3.93e-2) +
15,DTLZ2,MCEA/D,MCEAD,1.1535e+0,4.02e-2,=,pruned_weight十五目标.xlsx,IGD,F3,1.1535e+0 (4.02e-2) =
15,DTLZ2,CSEA,CSEA,1.2015e+0,7.28e-2,-,pruned_weight十五目标.xlsx,IGD,G3,1.2015e+0 (7.28e-2) -
15,DTLZ2,K-RVEA,KRVEA_100,1.2026e+0,9.08e-2,-,pruned_weight十五目标.xlsx,IGD,H3,1.2026e+0 (9.08e-2) -
15,DTLZ2,PC-SAEA,PCSAEA_N100,1.4357e+0,5.50e-2,-,pruned_weight十五目标.xlsx,IGD,I3,1.4357e+0 (5.50e-2) -
15,DTLZ2,PACDIS,REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted,1.1257e+0,8.08e-2,,pruned_weight十五目标.xlsx,IGD,J3,1.1257e+0 (8.08e-2)
15,DTLZ3,REMO,REMO,4.3830e+2,9.36e+1,+,pruned_weight十五目标.xlsx,IGD,D4,4.3830e+2 (9.36e+1) +
15,DTLZ3,PIEA,PIEA,4.0425e+2,4.78e+1,+,pruned_weight十五目标.xlsx,IGD,E4,4.0425e+2 (4.78e+1) +
15,DTLZ3,MCEA/D,MCEAD,2.7579e+2,1.44e+2,+,pruned_weight十五目标.xlsx,IGD,F4,2.7579e+2 (1.44e+2) +
15,DTLZ3,CSEA,CSEA,5.5501e+2,1.16e+2,+,pruned_weight十五目标.xlsx,IGD,G4,5.5501e+2 (1.16e+2) +
15,DTLZ3,K-RVEA,KRVEA_100,6.1456e+2,1.05e+2,=,pruned_weight十五目标.xlsx,IGD,H4,6.1456e+2 (1.05e+2) =
15,DTLZ3,PC-SAEA,PCSAEA_N100,9.2027e+2,9.80e+1,-,pruned_weight十五目标.xlsx,IGD,I4,9.2027e+2 (9.80e+1) -
15,DTLZ3,PACDIS,REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted,6.2048e+2,8.38e+1,,pruned_weight十五目标.xlsx,IGD,J4,6.2048e+2 (8.38e+1)
15,DTLZ4,REMO,REMO,1.0879e+0,4.50e-2,+,pruned_weight十五目标.xlsx,IGD,D5,1.0879e+0 (4.50e-2) +
15,DTLZ4,PIEA,PIEA,1.2350e+0,6.47e-2,=,pruned_weight十五目标.xlsx,IGD,E5,1.2350e+0 (6.47e-2) =
15,DTLZ4,MCEA/D,MCEAD,1.2870e+0,2.18e-2,-,pruned_weight十五目标.xlsx,IGD,F5,1.2870e+0 (2.18e-2) -
15,DTLZ4,CSEA,CSEA,1.1735e+0,5.70e-2,=,pruned_weight十五目标.xlsx,IGD,G5,1.1735e+0 (5.70e-2) =
15,DTLZ4,K-RVEA,KRVEA_100,1.5703e+0,9.84e-2,-,pruned_weight十五目标.xlsx,IGD,H5,1.5703e+0 (9.84e-2) -
15,DTLZ4,PC-SAEA,PCSAEA_N100,1.4720e+0,5.07e-2,-,pruned_weight十五目标.xlsx,IGD,I5,1.4720e+0 (5.07e-2) -
15,DTLZ4,PACDIS,REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted,1.2008e+0,8.15e-2,,pruned_weight十五目标.xlsx,IGD,J5,1.2008e+0 (8.15e-2)
