Problem,M,Stage,Truth,Metric,ViewA,ViewB,AvailablePairedRuns,ValidPairs,MeanA,MeanB,MeanDelta,MedianDelta,MeanRelativeImprovementPct,PValueRaw,PairedWinProbability,RankBiserial,PValueHolm,RejectHolm05
DTLZ2,10,"S1_[0,0.25]",population_h1,AUC,score_v,anchor_margin,25,25,0.861609633467769,0.75601330407944,0.105596329388328,0.113674928570568,14.5092761511166,1.22903222102484e-05,1,1,0.000147483866522981,1
DTLZ2,10,"S1_[0,0.25]",population_h1,Lift,score_hybrid,score_v,25,25,1.06008012699583,1.06008729384913,-7.16685330346856e-06,0,-9.82833124779425e-05,0.5,0.5,-0.4,1,0
DTLZ2,10,"S1_[0,0.25]",population_h1,Lift,score_hybrid,anchor_margin,25,25,1.06008012699583,1.05454648464678,0.00553364234905056,0.00842105263157866,0.536833861343784,0.0831487874024729,0.68,0.503267973856209,0.665190299219783,0
DTLZ2,10,"S1_[0,0.25]",population_h1,Lift,score_v,anchor_margin,25,25,1.06008729384913,1.05454648464678,0.00554080920235402,0,0.537726664513735,0.1031494140625,0.68,0.483333333333333,0.685790924663078,0
DTLZ2,10,"S1_[0,0.25]",population_h3,Precision,score_hybrid,score_v,25,25,0.9792,0.97824,0.000960000000000001,0.00800000000000001,0.104088147478405,0.279357527151909,0.62,0.261904761904762,1,0
DTLZ2,10,"S1_[0,0.25]",population_h3,Precision,score_hybrid,anchor_margin,25,25,0.9792,0.952,0.0272,0.024,2.94154166676242,0.00137491259381839,0.84,0.760869565217391,0.0137491259381839,1
DTLZ2,10,"S1_[0,0.25]",population_h3,Precision,score_v,anchor_margin,25,25,0.97824,0.952,0.02624,0.024,2.86070641432179,0.00359654150345587,0.8,0.692028985507246,0.0323688735311028,1
DTLZ2,10,"S1_[0,0.25]",population_h3,AUC,score_hybrid,score_v,25,25,0.83461053221944,0.84561193501031,-0.0110014027908695,-0.00383331508722595,-1.20883488330292,0.13534988381758,0.4,-0.341538461538462,0.541399535270321,0
DTLZ2,10,"S1_[0,0.25]",population_h3,AUC,score_hybrid,anchor_margin,25,25,0.83461053221944,0.740968252623936,0.0936422795955041,0.0871527777777777,13.0250782576059,1.22903222102484e-05,1,1,0.000147483866522981,1
DTLZ2,10,"S1_[0,0.25]",population_h3,AUC,score_v,anchor_margin,25,25,0.84561193501031,0.740968252623936,0.104643682386374,0.105565542898519,14.7007000966579,2.00130174376755e-05,0.92,0.975384615384615,0.000220143191814431,1
DTLZ2,10,"S1_[0,0.25]",population_h3,Lift,score_hybrid,score_v,25,25,1.17323148198978,1.17211451249562,0.0011169694941667,0.00919540229885052,0.102114236704721,0.399310494822408,0.62,0.228571428571429,1,0
DTLZ2,10,"S1_[0,0.25]",population_h3,Lift,score_hybrid,anchor_margin,25,25,1.17323148198978,1.14062871061879,0.032602771370992,0.0309955086326392,2.94035269219115,0.00126420002560567,0.84,0.768115942028985,0.0126420002560567,1
DTLZ2,10,"S1_[0,0.25]",population_h3,Lift,score_v,anchor_margin,25,25,1.17211451249562,1.14062871061879,0.0314858018768253,0.0298708422540337,2.86177962643719,0.00390526507365184,0.78,0.673333333333333,0.0351473856628666,1
DTLZ2,10,"S2_(0.25,0.50]",front_final,Precision,score_hybrid,score_v,25,25,0.621409523809524,0.643047619047619,-0.0216380952380953,-0.0114285714285713,-3.40682800072944,0.0917514003228806,0.32,-0.390769230769231,0.458757001614403,0
DTLZ2,10,"S2_(0.25,0.50]",front_final,Precision,score_hybrid,anchor_margin,25,25,0.621409523809524,0.523276190476191,0.0981333333333333,0.11047619047619,22.6186785647529,0.000327649121596955,0.84,0.821538461538462,0.0036041403375665,1
DTLZ2,10,"S2_(0.25,0.50]",front_final,Precision,score_v,anchor_margin,25,25,0.643047619047619,0.523276190476191,0.119771428571429,0.144761904761905,29.1560145176133,0.000631303001779246,0.88,0.778461538461538,0.00631303001779246,1
