Problem,M,Run,Seed,Stage,View,SelectionRule,Truth,TruthType,Horizon,NumberOfCheckpoints,ValidPrecisionCheckpoints,MeanSelectedRate,MeanPrecision,MeanRecall,MeanChance,MeanLift,MeanAUC,MeanRetentionRate
DTLZ2,10,3,11003,"S1_[0,0.25]",label_dyn,native,front_h1,nondominated,H1,5,5,0.594,0.925132907172601,0.654940702379658,0.836,1.10842112915903,0.696067753787231,NaN
DTLZ2,10,3,11003,"S1_[0,0.25]",label_dyn,native,front_h3,nondominated,H3,5,5,0.594,0.788472459411407,0.627408203848211,0.736,1.06551767705919,0.582240301356857,NaN
DTLZ2,10,3,11003,"S1_[0,0.25]",label_dyn,native,population_final,retention,FINAL,5,5,0.594,0.0396104313853928,0.8,0.03,1.33127587961447,0.606075987095869,0.0396104313853928
DTLZ2,10,3,11003,"S1_[0,0.25]",label_dyn,native,population_h1,retention,H1,5,5,0.594,0.966359717868339,0.621586632901806,0.924,1.04656368837901,0.671049726707313,0.966359717868339
DTLZ2,10,3,11003,"S1_[0,0.25]",label_dyn,native,population_h3,retention,H3,5,5,0.594,0.867933987975483,0.625772182807887,0.818,1.05998663160605,0.595288052188257,0.867933987975483
DTLZ2,10,3,11003,"S2_(0.25,0.50]",label_dyn,native,front_final,nondominated,FINAL,21,21,0.498571428571429,0.474571489079754,0.595251980295422,0.387619047619048,1.19973839053518,0.588372692843014,NaN
DTLZ2,10,3,11003,"S2_(0.25,0.50]",label_dyn,native,front_h1,nondominated,H1,21,21,0.498571428571429,0.976562643655643,0.509625545527224,0.96,1.01942366760844,0.571353229440202,NaN
DTLZ2,10,3,11003,"S2_(0.25,0.50]",label_dyn,native,front_h3,nondominated,H3,21,21,0.498571428571429,0.940088329617621,0.516228221739085,0.911904761904762,1.03287649889434,0.580232616684643,NaN
DTLZ2,10,3,11003,"S2_(0.25,0.50]",label_dyn,native,population_final,retention,FINAL,21,21,0.498571428571429,0.152143989407674,0.59109628311309,0.124761904761905,1.19815064396091,0.553627966267614,0.152143989407674
DTLZ2,10,3,11003,"S2_(0.25,0.50]",label_dyn,native,population_h1,retention,H1,21,21,0.498571428571429,0.951739081053324,0.509855088495152,0.931428571428571,1.0220966127849,0.589841307732768,0.951739081053324
DTLZ2,10,3,11003,"S2_(0.25,0.50]",label_dyn,native,population_h3,retention,H3,21,21,0.498571428571429,0.878538319214195,0.534399010916922,0.819047619047619,1.07347366351873,0.596449991940502,0.878538319214195
DTLZ2,10,3,11003,"S3_(0.50,0.75]",label_dyn,native,front_final,nondominated,FINAL,20,20,0.512,0.893823621997892,0.581830668193404,0.788,1.14115548018355,0.660195531831247,NaN
DTLZ2,10,3,11003,"S3_(0.50,0.75]",label_dyn,native,front_h1,nondominated,H1,20,20,0.512,0.993857518617203,0.514319674692947,0.989,1.00537446653622,0.55505660067872,NaN
DTLZ2,10,3,11003,"S3_(0.50,0.75]",label_dyn,native,front_h3,nondominated,H3,20,20,0.512,0.987749353612071,0.517802584467782,0.977,1.01171566292999,0.604218399336397,NaN
DTLZ2,10,3,11003,"S3_(0.50,0.75]",label_dyn,native,population_final,retention,FINAL,20,20,0.512,0.364960107208433,0.636448987330768,0.29,1.24926239256469,0.589625807034699,0.364960107208433
DTLZ2,10,3,11003,"S3_(0.50,0.75]",label_dyn,native,population_h1,retention,H1,20,20,0.512,0.958262732884684,0.516618704449087,0.9485,1.01103520049869,0.527894556226337,0.958262732884684
DTLZ2,10,3,11003,"S3_(0.50,0.75]",label_dyn,native,population_h3,retention,H3,20,20,0.512,0.884998914467298,0.521524346758453,0.868,1.02103481756733,0.520285444548202,0.884998914467298
DTLZ2,10,3,11003,"S4_(0.75,1.00]",label_dyn,native,front_final,nondominated,FINAL,21,21,0.56952380952381,0.945130107734003,0.591426474100146,0.913809523809524,1.03658927188909,0.54875549769594,NaN
DTLZ2,10,3,11003,"S4_(0.75,1.00]",label_dyn,native,front_h1,nondominated,H1,21,20,0.56952380952381,0.99637628887762,0.576917452587095,0.9925,1.00396392469388,0.651917452587095,NaN
DTLZ2,10,3,11003,"S4_(0.75,1.00]",label_dyn,native,front_h3,nondominated,H3,21,18,0.56952380952381,0.985553680300453,0.589975711801297,0.972777777777778,1.01320248666309,0.652858226271019,NaN
DTLZ2,10,3,11003,"S4_(0.75,1.00]",label_dyn,native,population_final,retention,FINAL,21,21,0.56952380952381,0.677986645070886,0.645905324858955,0.60952380952381,1.13152798212192,0.594880516794008,0.677986645070886
