Problem,M,Run,Seed,Stage,View,SelectionRule,Truth,TruthType,Horizon,NumberOfCheckpoints,ValidPrecisionCheckpoints,MeanSelectedRate,MeanPrecision,MeanRecall,MeanChance,MeanLift,MeanAUC,MeanRetentionRate
DTLZ2,10,1,11001,"S3_(0.50,0.75]",score_hybrid,top25,front_final,nondominated,FINAL,20,20,0.25,0.802,0.289644924257275,0.6895,1.1585796970291,0.606311201131119,NaN
DTLZ2,10,1,11001,"S3_(0.50,0.75]",score_hybrid,top25,front_h1,nondominated,H1,20,20,0.25,0.978,0.248852112281488,0.9815,0.995408449125952,0.556880144940607,NaN
DTLZ2,10,1,11001,"S3_(0.50,0.75]",score_hybrid,top25,front_h3,nondominated,H3,20,20,0.25,0.944,0.247138442415184,0.9525,0.988553769660737,0.550893554275635,NaN
DTLZ2,10,1,11001,"S3_(0.50,0.75]",score_hybrid,top25,population_final,retention,FINAL,20,20,0.25,0.356,0.353461895395316,0.248,1.41384758158127,0.608645946372468,0.356
DTLZ2,10,1,11001,"S3_(0.50,0.75]",score_hybrid,top25,population_h1,retention,H1,20,20,0.25,0.94,0.251292600345584,0.935,1.00517040138234,0.577229487930654,0.94
DTLZ2,10,1,11001,"S3_(0.50,0.75]",score_hybrid,top25,population_h3,retention,H3,20,20,0.25,0.848,0.252057745484698,0.841,1.00823098193879,0.549905879389251,0.848
DTLZ2,10,1,11001,"S3_(0.50,0.75]",score_v,top25,front_final,nondominated,FINAL,20,20,0.25,0.84,0.303929625528594,0.6895,1.21571850211437,0.665749474523306,NaN
DTLZ2,10,1,11001,"S3_(0.50,0.75]",score_v,top25,front_h1,nondominated,H1,20,20,0.25,0.976,0.248357475188913,0.9815,0.993429900755652,0.53800379470335,NaN
DTLZ2,10,1,11001,"S3_(0.50,0.75]",score_v,top25,front_h3,nondominated,H3,20,20,0.25,0.95,0.24882413141634,0.9525,0.995296525665359,0.654449903701679,NaN
DTLZ2,10,1,11001,"S3_(0.50,0.75]",score_v,top25,population_final,retention,FINAL,20,20,0.25,0.338,0.326137843108873,0.248,1.30455137243549,0.625858047721962,0.338
DTLZ2,10,1,11001,"S3_(0.50,0.75]",score_v,top25,population_h1,retention,H1,20,20,0.25,0.934,0.249655204686717,0.935,0.998620818746868,0.553823265009617,0.934
DTLZ2,10,1,11001,"S3_(0.50,0.75]",score_v,top25,population_h3,retention,H3,20,20,0.25,0.848,0.251970511104265,0.841,1.00788204441706,0.569353272144377,0.848
DTLZ2,10,1,11001,"S4_(0.75,1.00]",anchor_margin,top25,front_final,nondominated,FINAL,21,21,0.25,0.931428571428571,0.258664623956391,0.901428571428571,1.03465849582556,0.468132801931691,NaN
DTLZ2,10,1,11001,"S4_(0.75,1.00]",anchor_margin,top25,front_h1,nondominated,H1,21,20,0.25,0.996,0.251201195526935,0.9915,1.00480478210774,0.456596544890526,NaN
DTLZ2,10,1,11001,"S4_(0.75,1.00]",anchor_margin,top25,front_h3,nondominated,H3,21,18,0.25,0.98,0.251523375218647,0.974444444444444,1.00609350087459,0.414652123590031,NaN
DTLZ2,10,1,11001,"S4_(0.75,1.00]",anchor_margin,top25,population_final,retention,FINAL,21,21,0.25,0.668571428571428,0.278058557356008,0.619523809523809,1.11223422942403,0.555528100623932,0.668571428571428
DTLZ2,10,1,11001,"S4_(0.75,1.00]",anchor_margin,top25,population_h1,retention,H1,21,20,0.25,0.936,0.249764331810847,0.9375,0.999057327243387,0.473208932395476,0.936
DTLZ2,10,1,11001,"S4_(0.75,1.00]",anchor_margin,top25,population_h3,retention,H3,21,18,0.25,0.844444444444445,0.253577020889241,0.834444444444445,1.01430808355696,0.487155513148275,0.844444444444445
DTLZ2,10,1,11001,"S4_(0.75,1.00]",label_dyn,native,front_final,nondominated,FINAL,21,21,0.533333333333333,0.894958026389637,0.525856381017915,0.901428571428571,0.993524486110587,0.406294366755152,NaN
DTLZ2,10,1,11001,"S4_(0.75,1.00]",label_dyn,native,front_h1,nondominated,H1,21,20,0.533333333333333,0.988786972611819,0.530174943650002,0.9915,0.997161239273017,0.417575334214288,NaN
DTLZ2,10,1,11001,"S4_(0.75,1.00]",label_dyn,native,front_h3,nondominated,H3,21,18,0.533333333333333,0.965761425926061,0.526702121135158,0.974444444444444,0.99084855673041,0.390045082204904,NaN
DTLZ2,10,1,11001,"S4_(0.75,1.00]",label_dyn,native,population_final,retention,FINAL,21,21,0.533333333333333,0.654532426864334,0.561577594842887,0.619523809523809,1.07393976838473,0.537692946399216,0.654532426864334
DTLZ2,10,1,11001,"S4_(0.75,1.00]",label_dyn,native,population_h1,retention,H1,21,20,0.533333333333333,0.933218092542827,0.528665374335781,0.9375,0.995360981953186,0.485166221323793,0.933218092542827
DTLZ2,10,1,11001,"S4_(0.75,1.00]",label_dyn,native,population_h3,retention,H3,21,18,0.533333333333333,0.829556655337067,0.527712631626493,0.834444444444445,0.995188449224684,0.477937456407545,0.829556655337067
DTLZ2,10,1,11001,"S4_(0.75,1.00]",score_hybrid,top25,front_final,nondominated,FINAL,21,21,0.25,0.914285714285714,0.253996682079146,0.901428571428571,1.01598672831659,0.444809785069197,NaN
DTLZ2,10,1,11001,"S4_(0.75,1.00]",score_hybrid,top25,front_h1,nondominated,H1,21,20,0.25,0.986,0.248644702764257,0.9915,0.994578811057028,0.347092367821777,NaN
DTLZ2,10,1,11001,"S4_(0.75,1.00]",score_hybrid,top25,front_h3,nondominated,H3,21,18,0.25,0.957777777777778,0.245798859530363,0.974444444444444,0.983195438121454,0.329532069851058,NaN
DTLZ2,10,1,11001,"S4_(0.75,1.00]",score_hybrid,top25,population_final,retention,FINAL,21,21,0.25,0.662857142857143,0.278133243724682,0.619523809523809,1.11253297489873,0.570422180048339,0.662857142857143
DTLZ2,10,1,11001,"S4_(0.75,1.00]",score_hybrid,top25,population_h1,retention,H1,21,20,0.25,0.924,0.246422107248441,0.9375,0.985688428993765,0.502334149767993,0.924
DTLZ2,10,1,11001,"S4_(0.75,1.00]",score_hybrid,top25,population_h3,retention,H3,21,18,0.25,0.811111111111111,0.242757258091565,0.834444444444445,0.97102903236626,0.508336001800361,0.811111111111111
DTLZ2,10,1,11001,"S4_(0.75,1.00]",score_v,top25,front_final,nondominated,FINAL,21,21,0.25,0.921904761904762,0.256168257780134,0.901428571428571,1.02467303112054,0.518222660777787,NaN
DTLZ2,10,1,11001,"S4_(0.75,1.00]",score_v,top25,front_h1,nondominated,H1,21,20,0.25,0.988,0.249149753269308,0.9915,0.99659901307723,0.37003530696026,NaN
DTLZ2,10,1,11001,"S4_(0.75,1.00]",score_v,top25,front_h3,nondominated,H3,21,18,0.25,0.962222222222222,0.246963891492497,0.974444444444444,0.987855565969988,0.357520607038684,NaN
DTLZ2,10,1,11001,"S4_(0.75,1.00]",score_v,top25,population_final,retention,FINAL,21,21,0.25,0.647619047619048,0.270430826071287,0.619523809523809,1.08172330428515,0.58054798150055,0.647619047619048
DTLZ2,10,1,11001,"S4_(0.75,1.00]",score_v,top25,population_h1,retention,H1,21,20,0.25,0.934,0.24922933267153,0.9375,0.996917330686121,0.540029496809263,0.934
DTLZ2,10,1,11001,"S4_(0.75,1.00]",score_v,top25,population_h3,retention,H3,21,18,0.25,0.828888888888889,0.248195842722637,0.834444444444445,0.992783370890549,0.557131106039437,0.828888888888889
DTLZ2,10,2,11002,"S1_[0,0.25]",anchor_margin,top25,front_final,nondominated,FINAL,5,5,0.25,0.088,0.212727272727273,0.102,0.850909090909091,0.479310861423221,NaN
DTLZ2,10,2,11002,"S1_[0,0.25]",anchor_margin,top25,front_h1,nondominated,H1,5,5,0.25,0.984,0.281301427966214,0.876,1.12520571186486,0.700504037102531,NaN
DTLZ2,10,2,11002,"S1_[0,0.25]",anchor_margin,top25,front_h3,nondominated,H3,5,5,0.25,0.96,0.281535543619123,0.854,1.12614217447649,0.680061108237828,NaN
DTLZ2,10,2,11002,"S1_[0,0.25]",anchor_margin,top25,population_final,retention,FINAL,5,5,0.25,0.056,0.28,0.05,1.12,0.54778947368421,0.056
