run_global,problem,M,run_id,gen,p_err,prev_p_err,coverage,degeneracy,mean_conf,relation_mode,candidate_mode
3,DTLZ1,10,2,23,0.633451957295374,0.0911032028469751,0.171328671328671,0.3,0.669469300713717,weighted,conservative
3,DTLZ1,10,2,24,0.1,0.633451957295374,0.171328671328671,0.3,0.679422686675972,curriculum,explore
3,DTLZ1,10,2,25,0.138790035587189,0.1,0.164335664335664,0.3,0.659476924383924,weighted,explore
3,DTLZ1,10,2,26,0.604270462633452,0.138790035587189,0.167832167832168,0.3,0.619609225367158,weighted,conservative
3,DTLZ1,10,2,27,0.0544444444444444,0.604270462633452,0.167832167832168,0.3,0.61961125204843,curriculum,explore
3,DTLZ1,10,2,28,0.279003558718861,0.0544444444444444,0.167832167832168,0.4,0.599688476426965,weighted,explore
3,DTLZ1,10,2,29,0.0206405693950178,0.279003558718861,0.171328671328671,0.3,0.549960512748278,conservative,explore
3,DTLZ1,10,2,30,0.370818505338078,0.0206405693950178,0.164335664335664,0.4,0.589778368758969,weighted,conservative
3,DTLZ1,10,2,31,0.0588888888888889,0.370818505338078,0.164335664335664,0.3,0.579817397378931,curriculum,explore
3,DTLZ1,10,2,32,0.337366548042705,0.0588888888888889,0.164335664335664,0.4,0.609776185123082,weighted,explore
3,DTLZ1,10,2,33,0.42491103202847,0.337366548042705,0.171328671328671,0.3,0.550067450802411,weighted,conservative
3,DTLZ1,10,2,34,0.0422222222222222,0.42491103202847,0.174825174825175,0.3,0.60963322698236,curriculum,explore
3,DTLZ1,10,2,35,0.130960854092527,0.0422222222222222,0.181818181818182,0.3,0.579769551864389,weighted,explore
4,DTLZ1,10,3,1,0.0111111111111111,1,0.136363636363636,0.4,0.60986278829528,curriculum,explore
4,DTLZ1,10,3,2,0.00284697508896797,0.0111111111111111,0.146853146853147,0.4,0.550052181226852,weighted,explore
4,DTLZ1,10,3,3,0.0142348754448399,0.00284697508896797,0.153846153846154,0.4,0.520080773180809,conservative,explore
4,DTLZ1,10,3,4,0.0113879003558719,0.0142348754448399,0.160839160839161,0.4,0.430274294754124,conservative,explore
4,DTLZ1,10,3,5,0.0170818505338078,0.0113879003558719,0.164335664335664,0.3,0.380419276474558,conservative,explore
4,DTLZ1,10,3,6,0.0163701067615658,0.0170818505338078,0.174825174825175,0.3,0.330546890653365,conservative,explore
4,DTLZ1,10,3,7,0.0099644128113879,0.0163701067615658,0.188811188811189,0.3,0.470200974465247,conservative,explore
4,DTLZ1,10,3,8,0.0227758007117438,0.0099644128113879,0.178321678321678,0.3,0.38057044726459,conservative,explore
4,DTLZ1,10,3,9,0.0583629893238434,0.0227758007117438,0.181818181818182,0.3,0.400419102103858,conservative,explore
4,DTLZ1,10,3,10,0.0476868327402135,0.0583629893238434,0.174825174825175,0.3,0.43032757805056,conservative,explore
4,DTLZ1,10,3,11,0.0491103202846975,0.0476868327402135,0.202797202797203,0.3,0.460274099119056,conservative,explore
4,DTLZ1,10,3,12,0.0256227758007117,0.0491103202846975,0.20979020979021,0.3,0.430352215612768,conservative,explore
4,DTLZ1,10,3,13,0.0263345195729537,0.0256227758007117,0.20979020979021,0.3,0.490171842427295,conservative,explore
4,DTLZ1,10,3,14,0.0505338078291815,0.0263345195729537,0.22027972027972,0.2,0.510072867007834,conservative,explore
4,DTLZ1,10,3,15,0.0327402135231317,0.0505338078291815,0.22027972027972,0.2,0.500103284169439,conservative,explore
4,DTLZ1,10,3,16,0.0298932384341637,0.0327402135231317,0.202797202797203,0.3,0.549930197736272,conservative,explore
4,DTLZ1,10,3,17,0.0298932384341637,0.0298932384341637,0.202797202797203,0.3,0.480112020064663,conservative,explore
4,DTLZ1,10,3,18,0.00925266903914591,0.0298932384341637,0.192307692307692,0.3,0.510131230349334,conservative,explore
4,DTLZ1,10,3,19,0.00782918149466192,0.00925266903914591,0.195804195804196,0.3,0.540027105878543,conservative,explore
4,DTLZ1,10,3,20,0.0249110320284698,0.00782918149466192,0.195804195804196,0.3,0.510127205842513,conservative,explore
4,DTLZ1,10,3,21,0.0263345195729537,0.0249110320284698,0.199300699300699,0.2,0.460222257133968,conservative,explore
4,DTLZ1,10,3,22,0.0199288256227758,0.0263345195729537,0.195804195804196,0.3,0.410509168553491,conservative,explore
4,DTLZ1,10,3,23,0.0298932384341637,0.0199288256227758,0.199300699300699,0.3,0.500230413619678,conservative,explore
4,DTLZ1,10,3,24,0.0185053380782918,0.0298932384341637,0.199300699300699,0.3,0.440393176780984,conservative,explore
4,DTLZ1,10,3,25,0.0697508896797153,0.0185053380782918,0.199300699300699,0.3,0.4104829996182,conservative,explore
4,DTLZ1,10,3,26,0.0797153024911032,0.0697508896797153,0.199300699300699,0.3,0.410488678809644,conservative,explore
4,DTLZ1,10,3,27,0.0341637010676157,0.0797153024911032,0.195804195804196,0.3,0.440377282697841,conservative,explore
4,DTLZ1,10,3,28,0.0313167259786477,0.0341637010676157,0.192307692307692,0.3,0.440379315540525,conservative,explore
4,DTLZ1,10,3,29,0.0583629893238434,0.0313167259786477,0.192307692307692,0.3,0.420494046671159,conservative,explore
4,DTLZ1,10,3,30,0.0377224199288256,0.0583629893238434,0.199300699300699,0.3,0.480387061276739,conservative,explore
4,DTLZ1,10,3,31,0.0320284697508897,0.0377224199288256,0.199300699300699,0.3,0.470416852322291,conservative,explore
4,DTLZ1,10,3,32,0.0277580071174377,0.0320284697508897,0.195804195804196,0.3,0.460456318646357,conservative,explore
4,DTLZ1,10,3,33,0.0220640569395018,0.0277580071174377,0.188811188811189,0.3,0.410548256345893,conservative,explore
4,DTLZ1,10,3,34,0.0405693950177936,0.0220640569395018,0.188811188811189,0.3,0.410564435702511,conservative,explore
5,DTLZ1,10,4,1,0.00888888888888889,1,0.15034965034965,0.4,0.609855786194848,curriculum,explore
5,DTLZ1,10,4,2,0.0128113879003559,0.00888888888888889,0.157342657342657,0.4,0.480235723314784,conservative,explore
5,DTLZ1,10,4,3,0.0106761565836299,0.0128113879003559,0.167832167832168,0.3,0.420352345481802,conservative,explore
5,DTLZ1,10,4,4,0.00925266903914591,0.0106761565836299,0.174825174825175,0.3,0.400445674482005,conservative,explore
5,DTLZ1,10,4,5,0.00925266903914591,0.00925266903914591,0.178321678321678,0.3,0.330668683597484,conservative,explore
5,DTLZ1,10,4,6,0.0120996441281139,0.00925266903914591,0.192307692307692,0.3,0.460285996739424,conservative,explore
5,DTLZ1,10,4,7,0.0298932384341637,0.0120996441281139,0.185314685314685,0.3,0.370533638363975,conservative,explore
5,DTLZ1,10,4,8,0.0185053380782918,0.0298932384341637,0.178321678321678,0.3,0.370517654365863,conservative,explore
