Algorithm: REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted
qKeep: 0.70; M=20; requested D=30; N=100; maxFE=300
Problems: DTLZ1, DTLZ2, DTLZ3, DTLZ4, DTLZ5, DTLZ6, DTLZ7, WFG1, WFG2, WFG3, WFG4, WFG5, WFG6, WFG7, WFG8, WFG9
Jobs: 288; workers: 6
Save folder: C:\Users\lsx\Desktop\REMOandDREMO测试集\20目标\REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted
Already complete: 0; remaining: 288
Starting parallel pool (parpool) using the 'Processes' profile ...
Connected to parallel pool with 6 workers.
[266/288] WFG8 run 14: IGD=20.39293; saved
[267/288] WFG8 run 15: IGD=19.89341; saved
[268/288] WFG8 run 17: IGD=20.15314; saved
[269/288] WFG8 run 16: IGD=20.93826; saved
[270/288] WFG8 run 18: IGD=21.03919; saved
[271/288] WFG9 run 01: IGD=23.30411; saved
[272/288] WFG9 run 02: IGD=25.71984; saved
[273/288] WFG9 run 03: IGD=24.64439; saved
[274/288] WFG9 run 04: IGD=20.70236; saved
[275/288] WFG9 run 06: IGD=24.66774; saved
[276/288] WFG9 run 05: IGD=23.78866; saved
[277/288] WFG9 run 07: IGD=24.7576; saved
[278/288] WFG9 run 08: IGD=25.238; saved
[279/288] WFG9 run 09: IGD=21.44488; saved
[280/288] WFG9 run 10: IGD=21.0784; saved
[281/288] WFG9 run 11: IGD=23.24304; saved
[282/288] WFG9 run 12: IGD=23.38734; saved
[283/288] WFG9 run 13: IGD=26.19698; saved
[284/288] WFG9 run 14: IGD=23.37865; saved
[285/288] WFG9 run 15: IGD=21.92248; saved
[286/288] WFG9 run 16: IGD=23.4758; saved
[287/288] WFG9 run 17: IGD=24.92216; saved
[288/288] WFG9 run 18: IGD=24.49113; saved
COMPLETE: all 288 runs saved individually.
Parallel pool using the 'Processes' profile is shutting down.
