target,comparator,problem,nx,ny,meanTarget,sdTarget,meanComparator,sdComparator,relativePercent,pDefault,pExact,pHolm,delta,ciLow,ciHigh
Weighted,KRVEA_100,WFG4,18,18,6.6111798854443,0.835830687812274,6.54375005292508,0.636142428680445,1.03044633388887,0.962148283606616,0.962626478527543,1,-0.0123456790123457,NaN,NaN
Weighted,KRVEA_100,WFG5,18,18,5.69300009992074,0.38053964176015,5.12100504754432,0.551375528082437,11.1695857954818,0.00164368813776486,0.00112213731953947,0.00897709855631574,-0.617283950617284,NaN,NaN
Weighted,KRVEA_100,WFG6,18,18,5.25057572465492,0.273749442846537,5.01922961314523,0.2248812703294,4.60919562045552,0.0169074450976378,0.015572731130521,0.109009117913647,-0.469135802469136,NaN,NaN
Weighted,KRVEA_100,WFG7,18,18,5.33024907468348,0.299073382266525,6.36424388914846,0.565248047944461,-16.2469388740432,4.8360388489192e-06,2.67103455746825e-07,3.47234492470873e-06,0.895061728395062,NaN,NaN
Weighted,KRVEA_100,WFG8,18,18,5.77108512321372,0.252802602392417,6.08005478337988,0.529814241329267,-5.08169204347869,0.0412816807081708,0.0402225846704456,0.241335508022674,0.401234567901235,NaN,NaN
Weighted,KRVEA_100,WFG9,18,18,6.51674422595857,0.623542989165887,6.57190632720162,0.75744018829365,-0.839362256499743,0.962148283606616,0.962626478527543,1,-0.0123456790123457,NaN,NaN
Weighted,Original,DTLZ1,18,18,217.730125831145,37.0865716301407,229.442633877168,36.1591837097623,-5.1047653385521,0.367216202022505,0.37170655384058,1,0.179012345679012,-14.5335078173783,5.31013490098651
Weighted,Original,DTLZ2,18,18,1.2060106276405,0.0995191561167723,1.09462722154827,0.0887966235865311,10.175464660442,0.0011829627696507,0.000757768316688347,0.0113665247503252,-0.635802469135803,4.5304751291226,15.9892686422546
Weighted,Original,DTLZ3,18,18,905.142726492718,104.111836808928,939.186001876187,139.879031402938,-3.62476392487341,0.189182309920301,0.191637415697813,1,0.259259259259259,-10.9376190017957,5.37847438524693
Weighted,Original,DTLZ4,18,18,1.2836625767578,0.114935977716299,1.18140163836223,0.112407690111937,8.65589949048402,0.0236875264720147,0.0223593702233839,0.268312442680607,-0.444444444444444,2.53116772332416,15.367131373332
Weighted,Original,DTLZ5,18,18,0.829392805717201,0.115744586087465,0.660490949449532,0.146716396018774,25.5721681589182,0.00164368813776486,0.00112213731953947,0.0157099224735525,-0.617283950617284,11.793554592767,41.6800043267824
Weighted,Original,DTLZ6,18,18,13.8114655089274,1.1675639247422,14.4627761588161,1.10041401867656,-4.50335843365499,0.0641899711772807,0.0636823217390489,0.636823217390489,0.364197530864198,-9.18604025911647,0.469373175085319
Weighted,Original,DTLZ7,18,18,8.79711007305126,1.28488270210331,12.1224186786928,2.79769106766626,-27.4310654810686,0.000531362958440904,0.000283833344060446,0.00454133350496714,0.679012345679012,-35.5112154714027,-17.4717623125196
Weighted,Original,WFG1,18,18,3.16682453098127,0.0377317923319269,3.19333303922972,0.0279456898540895,-0.830120376509469,0.0236875264720147,0.0223593702233839,0.268312442680607,0.444444444444444,-1.4880663177072,-0.17757963284753
Weighted,Original,WFG2,18,18,2.1567679114684,0.472719925874462,2.12110405700194,0.682247407909086,1.68138165351794,0.419790768046041,0.424456875921178,1,-0.160493827160494,-14.8800659174821,20.245287988654
Weighted,Original,WFG3,18,18,1.73193241588636,0.0701863365093176,1.70062941382868,0.0586852565136405,1.84067156566488,0.189182309920301,0.191637415697813,1,-0.259259259259259,-0.60418204981561,4.28937500597165
Weighted,Original,WFG4,18,18,6.6111798854443,0.835830687812274,6.63109836013158,0.638103652186272,-0.300379720002963,0.623852080962324,0.627909807361219,1,0.0987654320987654,-6.98954139020109,7.38599930475718
Weighted,Original,WFG5,18,18,5.69300009992074,0.38053964176015,5.9731534798388,0.400046196839542,-4.69020896355103,0.0218020762238895,0.0204636413519917,0.266027337575893,0.450617283950617,-8.6441900949819,-0.511410285349179
Weighted,Original,WFG6,18,18,5.25057572465492,0.273749442846537,5.27730383420541,0.200568344522488,-0.506472820026904,0.669291126618089,0.673001474699777,1,0.0864197530864197,-3.31133874941469,2.38870647338932
Weighted,Original,WFG7,18,18,5.33024907468348,0.299073382266525,5.29686401257078,0.256666300626559,0.630279766168584,0.886784835609217,0.888198369009441,1,-0.0308641975308642,-2.65887580799322,4.00916239921323
Weighted,Original,WFG8,18,18,5.77108512321372,0.252802602392417,5.69304894544652,0.266258656169107,1.3707273293271,0.334556183874311,0.338850494713836,1,-0.191358024691358,-1.50411775899868,4.37016905028423
Weighted,Original,WFG9,18,18,6.51674422595857,0.623542989165887,6.37876242221186,0.610608211373356,2.16314379833671,0.318950987361808,0.323126224024451,1,-0.197530864197531,-4.11204699112145,8.37550253421377
Weighted,Pruned,DTLZ2,18,9,1.2060106276405,0.0995191561167723,1.23877844455506,0.105199572218139,-2.64517170593247,0.425315157816193,0.432655369039808,1,0.197530864197531,NaN,NaN
Weighted,Pruned,DTLZ5,18,9,0.829392805717201,0.115744586087465,0.855579102050675,0.148906935514792,-3.06065170020039,0.777261562971896,0.78143391315016,1,0.0740740740740741,NaN,NaN
Weighted,Pruned,DTLZ7,18,9,8.79711007305126,1.28488270210331,10.7667132806739,1.22577295205081,-18.2934490431545,0.00430894389594477,0.00290175118550405,0.0174105071130243,0.691358024691358,NaN,NaN
Weighted,Pruned,WFG4,18,9,6.6111798854443,0.835830687812274,6.40355886004021,0.560338240785284,3.24227558365542,0.816961321715391,0.820452225120417,1,-0.0617283950617284,NaN,NaN
Weighted,Pruned,WFG7,18,9,5.33024907468348,0.299073382266525,5.46286801859305,0.290479381802982,-2.42764319874085,0.157230588570627,0.160109669125687,0.800548345628437,0.345679012345679,NaN,NaN
Weighted,Pruned,WFG9,18,9,6.51674422595857,0.623542989165887,6.61984844925002,0.507289444297805,-1.55750126429446,0.699675625634705,0.705055554666539,1,0.0987654320987654,NaN,NaN
Original,REMO,DTLZ1,18,18,229.442633877168,36.1591837097623,207.482153735974,43.4628493358694,10.584274235527,0.141238417811925,0.142691228856941,0.570764915427762,-0.290123456790123,NaN,NaN
Original,REMO,DTLZ2,18,18,1.09462722154827,0.0887966235865311,1.09022715852309,0.092633432179091,0.403591397516245,1,1,1,0,NaN,NaN
Original,REMO,DTLZ3,18,18,939.186001876187,139.879031402938,808.130849272057,150.011883480119,16.2170708768489,0.00824611159729867,0.007104922171243,0.042629533027458,-0.518518518518518,NaN,NaN
Original,REMO,DTLZ4,18,18,1.18140163836223,0.112407690111937,1.14867404878008,0.104682411788654,2.84916244228843,0.476546211785049,0.481229515332956,0.962459030665912,-0.141975308641975,NaN,NaN
Original,REMO,DTLZ5,18,18,0.660490949449532,0.146716396018774,0.620522648686418,0.146988845921471,6.44107041825503,0.303830130087844,0.307873328786624,0.923619986359873,-0.203703703703704,NaN,NaN
Original,REMO,DTLZ6,18,18,14.4627761588161,1.10041401867656,16.3776022902555,0.730132049944893,-11.6917366626904,5.62171333027931e-06,3.51950675600396e-07,4.22340810720475e-06,0.888888888888889,NaN,NaN
Original,REMO,DTLZ7,18,18,12.1224186786928,2.79769106766626,21.2518180901241,2.43748680097494,-42.9582042002977,3.22783701065875e-07,2.20382389230054e-10,3.52611822768086e-09,1,NaN,NaN
Original,REMO,WFG1,18,18,3.19333303922972,0.0279456898540895,3.23537869225207,0.0874215130842846,-1.29955893951558,0.0516819061644163,0.0508592025068761,0.254296012534381,0.382716049382716,NaN,NaN
Original,REMO,WFG2,18,18,2.12110405700194,0.682247407909086,3.51079137735651,1.08120506596143,-39.5833067529335,0.000257926523477307,0.000112745206123814,0.000789216442866698,0.716049382716049,NaN,NaN
Original,REMO,WFG3,18,18,1.70062941382868,0.0586852565136405,1.51881854245939,0.100965292667139,11.9705459399307,2.24552266412888e-06,5.99440098705746e-08,7.7927212831747e-07,-0.925925925925926,NaN,NaN
Original,REMO,WFG4,18,18,6.63109836013158,0.638103652186272,8.17698301257427,0.993170716928524,-18.9053181358636,1.56973082409659e-05,2.01561733189807e-06,2.21717906508788e-05,0.845679012345679,NaN,NaN
Original,REMO,WFG5,18,18,5.9731534798388,0.400046196839542,6.94437207906939,0.514445765327788,-13.9856935684347,1.56973082409659e-05,2.01561733189807e-06,2.21717906508788e-05,0.845679012345679,NaN,NaN
Original,REMO,WFG6,18,18,5.27730383420541,0.200568344522488,6.42551728233579,0.479173019677145,-17.8695877340008,7.36660007156096e-07,4.18726539537102e-09,5.86217155351943e-08,0.969135802469136,NaN,NaN
Original,REMO,WFG7,18,18,5.29686401257078,0.256666300626559,6.28118400623337,0.741717106086908,-15.6709307144283,4.79172474310242e-05,1.11119004473685e-05,8.88952035789483e-05,0.796296296296296,NaN,NaN
Original,REMO,WFG8,18,18,5.69304894544652,0.266258656169107,7.05594896443765,0.506420480293286,-19.3156161681472,3.22783701065875e-07,2.20382389230054e-10,3.52611822768086e-09,1,NaN,NaN
Original,REMO,WFG9,18,18,6.37876242221186,0.610608211373356,7.64756572353056,0.760526696062636,-16.5909434084987,3.17585155740203e-05,6.03693478817886e-06,5.43324130936097e-05,0.814814814814815,NaN,NaN
Original,PIEA,DTLZ1,18,18,229.442633877168,36.1591837097623,242.07486618249,73.2410286518174,-5.21831634342386,0.476546211785049,0.481229515332956,0.481229515332956,0.141975308641975,NaN,NaN
Original,PIEA,DTLZ2,18,18,1.09462722154827,0.0887966235865311,0.968708106834636,0.0569295889898747,12.9986642854773,6.27342283219125e-05,1.63999758769437e-05,0.000131199807015549,-0.783950617283951,NaN,NaN
Original,PIEA,DTLZ3,18,18,939.186001876187,139.879031402938,554.590263764357,106.359410693313,69.3477262837856,3.06085420457986e-06,1.11954253728867e-07,1.23149679101754e-06,-0.91358024691358,NaN,NaN
Original,PIEA,DTLZ4,18,18,1.18140163836223,0.112407690111937,1.24523371308056,0.0405382204179741,-5.12611199390173,0.0641899711772807,0.0636823217390489,0.191046965217147,0.364197530864198,NaN,NaN
Original,PIEA,DTLZ5,18,18,0.660490949449532,0.146716396018774,0.290158791151389,0.035420511116537,127.630859236977,3.22783701065875e-07,2.20382389230054e-10,3.52611822768086e-09,-1,NaN,NaN
Original,PIEA,DTLZ6,18,18,14.4627761588161,1.10041401867656,5.48513059555348,1.809808203628,163.672412294802,3.22783701065875e-07,2.20382389230054e-10,3.52611822768086e-09,-1,NaN,NaN
Original,PIEA,DTLZ7,18,18,12.1224186786928,2.79769106766626,18.5881182694127,5.79265128047088,-34.7840458996834,0.000597408836943277,0.000328531520626475,0.00197118912375885,0.672839506172839,NaN,NaN
Original,PIEA,WFG1,18,18,3.19333303922972,0.0279456898540895,3.34325261631853,0.0495719718548288,-4.48424316957221,3.22783701065875e-07,2.20382389230054e-10,3.52611822768086e-09,1,NaN,NaN
Original,PIEA,WFG2,18,18,2.12110405700194,0.682247407909086,2.37098066717001,0.468508456719228,-10.5389560373901,0.0218020762238895,0.0204636413519917,0.081854565407967,0.450617283950617,NaN,NaN
Original,PIEA,WFG3,18,18,1.70062941382868,0.0586852565136405,1.18229162903454,0.148946366811153,43.8417875983292,3.22783701065875e-07,2.20382389230054e-10,3.52611822768086e-09,-1,NaN,NaN
Original,PIEA,WFG4,18,18,6.63109836013158,0.638103652186272,5.77660333603372,0.585725524380487,14.7923437769672,0.000472173162516424,0.000244694754027524,0.00171286327819267,-0.685185185185185,NaN,NaN
Original,PIEA,WFG5,18,18,5.9731534798388,0.400046196839542,5.7543690698306,0.25876779932967,3.80205731250816,0.0846530330989827,0.0846859889791395,0.191046965217147,-0.339506172839506,NaN,NaN
Original,PIEA,WFG6,18,18,5.27730383420541,0.200568344522488,5.93603451376871,0.403327173873444,-11.0971504298932,3.06085420457986e-06,1.11954253728867e-07,1.23149679101754e-06,0.91358024691358,NaN,NaN
Original,PIEA,WFG7,18,18,5.29686401257078,0.256666300626559,6.91388595164652,0.50437173380455,-23.3880331608688,3.22783701065875e-07,2.20382389230054e-10,3.52611822768086e-09,1,NaN,NaN
Original,PIEA,WFG8,18,18,5.69304894544652,0.266258656169107,6.35733781353818,0.49917518316697,-10.4491673649469,6.52874215207307e-06,4.59497281544662e-07,4.13547553390196e-06,0.882716049382716,NaN,NaN
Original,PIEA,WFG9,18,18,6.37876242221186,0.610608211373356,5.7930084055476,0.372340327051004,10.1113959389965,0.00132127687399942,0.000865276576096888,0.00432638288048444,-0.62962962962963,NaN,NaN
Original,MCEAD,DTLZ1,18,18,229.442633877168,36.1591837097623,235.30752004398,45.3677661697798,-2.49243465135183,0.558336537508178,0.562777430326576,1,0.117283950617284,NaN,NaN
Original,MCEAD,DTLZ2,18,18,1.09462722154827,0.0887966235865311,1.09742114648082,0.0607944863206546,-0.254590039704494,0.886784835609217,0.888198369009441,1,0.0308641975308642,NaN,NaN
Original,MCEAD,DTLZ3,18,18,939.186001876187,139.879031402938,574.990236227753,130.650050216631,63.3394695599971,6.51982103921083e-06,4.56191545706211e-07,3.64953236564969e-06,-0.882716049382716,NaN,NaN
Original,MCEAD,DTLZ4,18,18,1.18140163836223,0.112407690111937,1.24866742724243,0.0191402345416455,-5.38700597233885,0.0278862647424675,0.0265980933639634,0.106392373455854,0.432098765432099,NaN,NaN
Original,MCEAD,DTLZ5,18,18,0.660490949449532,0.146716396018774,0.37432208483034,0.0672560678604559,76.449901359386,5.31112827906215e-07,1.54267672461038e-09,1.54267672461038e-08,-0.981481481481482,NaN,NaN
Original,MCEAD,DTLZ6,18,18,14.4627761588161,1.10041401867656,8.9743974364896,1.77440170922239,61.1559579477831,3.22783701065875e-07,2.20382389230054e-10,3.52611822768086e-09,-1,NaN,NaN
Original,MCEAD,DTLZ7,18,18,12.1224186786928,2.79769106766626,20.4445919136934,4.66858250223389,-40.705988508514,3.06085420457986e-06,1.11954253728867e-07,1.00758828355981e-06,0.91358024691358,NaN,NaN
Original,MCEAD,WFG1,18,18,3.19333303922972,0.0279456898540895,3.45870869668368,0.0365498510374341,-7.67268020311765,3.22783701065875e-07,2.20382389230054e-10,3.52611822768086e-09,1,NaN,NaN
Original,MCEAD,WFG2,18,18,2.12110405700194,0.682247407909086,3.48362903492891,0.977483683609971,-39.1122293523648,2.7636646531025e-05,4.88786101073336e-06,3.42150270751335e-05,0.820987654320988,NaN,NaN
Original,MCEAD,WFG3,18,18,1.70062941382868,0.0586852565136405,1.25505236034289,0.0455728835734973,35.5026664675616,3.22783701065875e-07,2.20382389230054e-10,3.52611822768086e-09,-1,NaN,NaN
Original,MCEAD,WFG4,18,18,6.63109836013158,0.638103652186272,7.16261444760701,0.869936445192792,-7.42069940192029,0.124913553602684,0.125979378401113,0.37793813520334,0.302469135802469,NaN,NaN
Original,MCEAD,WFG5,18,18,5.9731534798388,0.400046196839542,6.61926657237788,0.395051776208054,-9.76109793244008,7.16785320741799e-05,1.98275831766387e-05,0.000118965499059832,0.777777777777778,NaN,NaN
Original,MCEAD,WFG6,18,18,5.27730383420541,0.200568344522488,7.25117659781805,0.672778644152314,-27.2214134766294,3.22783701065875e-07,2.20382389230054e-10,3.52611822768086e-09,1,NaN,NaN
Original,MCEAD,WFG7,18,18,5.29686401257078,0.256666300626559,8.15807264559189,0.629035418288723,-35.0721151590519,3.22783701065875e-07,2.20382389230054e-10,3.52611822768086e-09,1,NaN,NaN
Original,MCEAD,WFG8,18,18,5.69304894544652,0.266258656169107,7.46713449839708,0.471981158649463,-23.7585857510856,3.22783701065875e-07,2.20382389230054e-10,3.52611822768086e-09,1,NaN,NaN
Original,MCEAD,WFG9,18,18,6.37876242221186,0.610608211373356,7.08245627462648,0.695803903477783,-9.93573168867503,0.00164368813776486,0.00112213731953947,0.00561068659769734,0.617283950617284,NaN,NaN
Original,R2AEA,DTLZ1,18,18,229.442633877168,36.1591837097623,272.058062875106,24.8573628766857,-15.6640933731495,0.00131179693887236,0.000829361519271233,0.00580553063489863,0.62962962962963,NaN,NaN
Original,R2AEA,DTLZ2,18,18,1.09462722154827,0.0887966235865311,1.46111916766282,0.0568010964943386,-25.0829606664307,3.22783701065875e-07,2.20382389230054e-10,3.52611822768086e-09,1,NaN,NaN
Original,R2AEA,DTLZ3,18,18,939.186001876187,139.879031402938,563.525841611201,66.4822409522815,66.6624549445541,5.55967601181286e-06,3.49967234097325e-07,3.49967234097325e-06,-0.888888888888889,NaN,NaN
