Starting parallel pool (parpool) using the 'Processes' profile ...
Connected to parallel pool with 2 workers.
Pool has 2 workers; this runner uses at most 2.
[120/2208] PCSAEA_N100 DTLZ4 M10 run 30 FE=300 IGD=1.7658394 saved
[121/2208] KRVEA_100 DTLZ4 M10 run 19 FE=300 IGD=1.5315441 saved
[122/2208] KRVEA_100 DTLZ4 M10 run 20 FE=300 IGD=1.6062479 saved
[123/2208] KRVEA_100 DTLZ4 M10 run 21 FE=300 IGD=1.5135647 saved
[124/2208] KRVEA_100 DTLZ4 M10 run 22 FE=300 IGD=1.6384263 saved
[125/2208] KRVEA_100 DTLZ4 M10 run 24 FE=300 IGD=1.6903364 saved
[126/2208] KRVEA_100 DTLZ4 M10 run 23 FE=300 IGD=1.5528396 saved
[127/2208] KRVEA_100 DTLZ4 M10 run 25 FE=300 IGD=1.6561444 saved
[128/2208] KRVEA_100 DTLZ4 M10 run 26 FE=300 IGD=1.4875084 saved
[129/2208] KRVEA_100 DTLZ4 M10 run 28 FE=300 IGD=1.5348406 saved
[130/2208] KRVEA_100 DTLZ4 M10 run 27 FE=300 IGD=1.7760637 saved
[131/2208] KRVEA_100 DTLZ4 M10 run 30 FE=300 IGD=1.6774891 saved
[132/2208] KRVEA_100 DTLZ4 M10 run 29 FE=300 IGD=1.6187331 saved
[133/2208] REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted DTLZ4 M10 run 19 FE=300 IGD=1.3468691 saved
[134/2208] REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted DTLZ4 M10 run 20 FE=300 IGD=1.3339764 saved
[135/2208] REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted DTLZ4 M10 run 21 FE=300 IGD=1.2133598 saved
[136/2208] REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted DTLZ4 M10 run 22 FE=300 IGD=1.2440331 saved
[137/2208] REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted DTLZ4 M10 run 23 FE=300 IGD=1.2086284 saved
[138/2208] REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted DTLZ4 M10 run 24 FE=300 IGD=1.5023583 saved
[139/2208] REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted DTLZ4 M10 run 25 FE=300 IGD=1.3652801 saved
[140/2208] REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted DTLZ4 M10 run 26 FE=300 IGD=1.1612787 saved
[141/2208] REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted DTLZ4 M10 run 27 FE=300 IGD=1.3712822 saved
[142/2208] REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted DTLZ4 M10 run 28 FE=300 IGD=1.5049322 saved
[143/2208] REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted DTLZ4 M10 run 29 FE=300 IGD=1.4236269 saved
[144/2208] REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted DTLZ4 M10 run 30 FE=300 IGD=1.4059735 saved
[145/2208] PCSAEA_N100 DTLZ5 M10 run 19 FE=300 IGD=0.94455437 saved
[146/2208] PCSAEA_N100 DTLZ5 M10 run 20 FE=300 IGD=1.0367873 saved
[147/2208] PCSAEA_N100 DTLZ5 M10 run 21 FE=300 IGD=0.94544197 saved
[148/2208] PCSAEA_N100 DTLZ5 M10 run 22 FE=300 IGD=0.81499177 saved
[149/2208] PCSAEA_N100 DTLZ5 M10 run 23 FE=300 IGD=0.92278542 saved
[150/2208] PCSAEA_N100 DTLZ5 M10 run 24 FE=300 IGD=1.04777 saved
[151/2208] PCSAEA_N100 DTLZ5 M10 run 25 FE=300 IGD=0.88994107 saved
[152/2208] PCSAEA_N100 DTLZ5 M10 run 26 FE=300 IGD=0.78532551 saved
[153/2208] PCSAEA_N100 DTLZ5 M10 run 27 FE=300 IGD=0.95271042 saved
[154/2208] PCSAEA_N100 DTLZ5 M10 run 28 FE=300 IGD=0.98763267 saved
[155/2208] PCSAEA_N100 DTLZ5 M10 run 29 FE=300 IGD=0.99892777 saved
[156/2208] PCSAEA_N100 DTLZ5 M10 run 30 FE=300 IGD=0.94928055 saved
[157/2208] KRVEA_100 DTLZ5 M10 run 20 FE=300 IGD=0.95016663 saved
[158/2208] KRVEA_100 DTLZ5 M10 run 19 FE=300 IGD=0.98449016 saved
[159/2208] KRVEA_100 DTLZ5 M10 run 21 FE=300 IGD=0.99743782 saved
[160/2208] KRVEA_100 DTLZ5 M10 run 22 FE=300 IGD=0.87614535 saved
[161/2208] KRVEA_100 DTLZ5 M10 run 24 FE=300 IGD=0.94238143 saved
[162/2208] KRVEA_100 DTLZ5 M10 run 23 FE=300 IGD=0.87872645 saved
[163/2208] KRVEA_100 DTLZ5 M10 run 26 FE=300 IGD=0.79789831 saved
[164/2208] KRVEA_100 DTLZ5 M10 run 25 FE=300 IGD=0.85946142 saved
[165/2208] KRVEA_100 DTLZ5 M10 run 28 FE=300 IGD=0.99030602 saved
[166/2208] KRVEA_100 DTLZ5 M10 run 27 FE=300 IGD=0.70641634 saved
[167/2208] KRVEA_100 DTLZ5 M10 run 30 FE=300 IGD=1.0105189 saved
[168/2208] KRVEA_100 DTLZ5 M10 run 29 FE=300 IGD=0.76309831 saved
[169/2208] REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted DTLZ5 M10 run 20 FE=300 IGD=1.0200335 saved
[170/2208] REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted DTLZ5 M10 run 19 FE=300 IGD=0.72378059 saved
[171/2208] REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted DTLZ5 M10 run 21 FE=300 IGD=0.70205375 saved
[172/2208] REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted DTLZ5 M10 run 22 FE=300 IGD=0.74511881 saved
[173/2208] REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted DTLZ5 M10 run 24 FE=300 IGD=0.78634188 saved
[174/2208] REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted DTLZ5 M10 run 23 FE=300 IGD=0.78960144 saved
[175/2208] REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted DTLZ5 M10 run 26 FE=300 IGD=0.62957605 saved
[176/2208] REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted DTLZ5 M10 run 25 FE=300 IGD=0.79601829 saved
[177/2208] REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted DTLZ5 M10 run 28 FE=300 IGD=0.79612059 saved
[178/2208] REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted DTLZ5 M10 run 27 FE=300 IGD=0.71210564 saved
[179/2208] REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted DTLZ5 M10 run 30 FE=300 IGD=0.81240435 saved
[180/2208] REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted DTLZ5 M10 run 29 FE=300 IGD=0.60303291 saved
[181/2208] PCSAEA_N100 DTLZ6 M10 run 19 FE=300 IGD=17.556286 saved
[182/2208] PCSAEA_N100 DTLZ6 M10 run 20 FE=300 IGD=17.793744 saved
[183/2208] PCSAEA_N100 DTLZ6 M10 run 22 FE=300 IGD=17.773074 saved
[184/2208] PCSAEA_N100 DTLZ6 M10 run 21 FE=300 IGD=17.005142 saved
[185/2208] PCSAEA_N100 DTLZ6 M10 run 23 FE=300 IGD=17.545285 saved
[186/2208] PCSAEA_N100 DTLZ6 M10 run 24 FE=300 IGD=17.474542 saved
[187/2208] PCSAEA_N100 DTLZ6 M10 run 26 FE=300 IGD=17.588265 saved
[188/2208] PCSAEA_N100 DTLZ6 M10 run 25 FE=300 IGD=17.471292 saved
[189/2208] PCSAEA_N100 DTLZ6 M10 run 27 FE=300 IGD=17.784897 saved
[190/2208] PCSAEA_N100 DTLZ6 M10 run 28 FE=300 IGD=17.415326 saved
[191/2208] PCSAEA_N100 DTLZ6 M10 run 30 FE=300 IGD=17.075774 saved
[192/2208] PCSAEA_N100 DTLZ6 M10 run 29 FE=300 IGD=16.695803 saved
[193/2208] KRVEA_100 DTLZ6 M10 run 19 FE=300 IGD=15.078294 saved
[194/2208] KRVEA_100 DTLZ6 M10 run 20 FE=300 IGD=16.345497 saved
[195/2208] KRVEA_100 DTLZ6 M10 run 22 FE=300 IGD=15.472094 saved
[196/2208] KRVEA_100 DTLZ6 M10 run 21 FE=300 IGD=14.510006 saved
[197/2208] KRVEA_100 DTLZ6 M10 run 24 FE=300 IGD=16.020245 saved
[198/2208] KRVEA_100 DTLZ6 M10 run 23 FE=300 IGD=15.23031 saved
[199/2208] KRVEA_100 DTLZ6 M10 run 26 FE=300 IGD=16.462502 saved
[200/2208] KRVEA_100 DTLZ6 M10 run 25 FE=300 IGD=15.989198 saved
[201/2208] KRVEA_100 DTLZ6 M10 run 28 FE=300 IGD=15.82592 saved
[202/2208] KRVEA_100 DTLZ6 M10 run 27 FE=300 IGD=16.753797 saved
[203/2208] KRVEA_100 DTLZ6 M10 run 30 FE=300 IGD=15.961934 saved
[204/2208] KRVEA_100 DTLZ6 M10 run 29 FE=300 IGD=14.887205 saved
[205/2208] REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted DTLZ6 M10 run 19 FE=300 IGD=13.775098 saved
[206/2208] REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted DTLZ6 M10 run 20 FE=300 IGD=15.345081 saved
[207/2208] REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted DTLZ6 M10 run 21 FE=300 IGD=15.046979 saved
[208/2208] REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted DTLZ6 M10 run 22 FE=300 IGD=13.089593 saved
[209/2208] REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted DTLZ6 M10 run 23 FE=300 IGD=15.118106 saved
[210/2208] REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted DTLZ6 M10 run 24 FE=300 IGD=15.102924 saved
[211/2208] REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted DTLZ6 M10 run 26 FE=300 IGD=13.662145 saved
[212/2208] REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted DTLZ6 M10 run 25 FE=300 IGD=13.671196 saved
[213/2208] REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted DTLZ6 M10 run 27 FE=300 IGD=13.93168 saved
[214/2208] REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted DTLZ6 M10 run 28 FE=300 IGD=15.20676 saved
[215/2208] REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted DTLZ6 M10 run 29 FE=300 IGD=13.677763 saved
[216/2208] REMO_new2_AdaMaO_SDEOnly_UniformMix_Pruned_Weighted DTLZ6 M10 run 30 FE=300 IGD=11.252129 saved
[217/2208] PCSAEA_N100 DTLZ7 M10 run 19 FE=300 IGD=28.67286 saved
[218/2208] PCSAEA_N100 DTLZ7 M10 run 20 FE=300 IGD=27.813985 saved
[219/2208] PCSAEA_N100 DTLZ7 M10 run 21 FE=300 IGD=29.681005 saved
[220/2208] PCSAEA_N100 DTLZ7 M10 run 22 FE=300 IGD=30.134767 saved
[221/2208] PCSAEA_N100 DTLZ7 M10 run 23 FE=300 IGD=30.875513 saved
[222/2208] PCSAEA_N100 DTLZ7 M10 run 24 FE=300 IGD=27.391305 saved
[223/2208] PCSAEA_N100 DTLZ7 M10 run 25 FE=300 IGD=29.931998 saved
[224/2208] PCSAEA_N100 DTLZ7 M10 run 26 FE=300 IGD=29.367612 saved
[225/2208] PCSAEA_N100 DTLZ7 M10 run 27 FE=300 IGD=29.036095 saved
[226/2208] PCSAEA_N100 DTLZ7 M10 run 28 FE=300 IGD=27.232768 saved
[227/2208] PCSAEA_N100 DTLZ7 M10 run 29 FE=300 IGD=29.486607 saved
[228/2208] PCSAEA_N100 DTLZ7 M10 run 30 FE=300 IGD=32.731009 saved
[229/2208] KRVEA_100 DTLZ7 M10 run 20 FE=300 IGD=1.9167495 saved
[230/2208] KRVEA_100 DTLZ7 M10 run 19 FE=300 IGD=1.4284265 saved
[231/2208] KRVEA_100 DTLZ7 M10 run 21 FE=300 IGD=1.433109 saved
[232/2208] KRVEA_100 DTLZ7 M10 run 22 FE=300 IGD=1.4376925 saved
[233/2208] KRVEA_100 DTLZ7 M10 run 23 FE=300 IGD=2.3215829 saved
