problem,M,run,stage,ratio,variant,mean_conf,gate_weighted,delta_mean_conf,spearman_vs_base,jaccard_vs_base
DTLZ1,20,1,3,0.666666666666667,minmax,0.517628415393038,0,0.0172018968259073,-0.252409240924092,0.388888888888889
DTLZ1,20,1,4,0.833333333333333,base,0.530315886041157,0,0,1,1
DTLZ1,20,1,4,0.833333333333333,x0.1,0.532517553075548,0,0.00220166703439095,1,1
DTLZ1,20,1,4,0.833333333333333,x10,0.530032325244032,0,-0.000283560797125104,1,1
DTLZ1,20,1,4,0.833333333333333,x100,0.530003239998937,0,-0.000312646042220588,1,1
DTLZ1,20,1,4,0.833333333333333,wfg_style,0.520014690974787,0,-0.0103011950663697,0.994227422742274,0.851851851851852
DTLZ1,20,1,4,0.833333333333333,de_wfg,0.534051457427411,0,0.00373557138625413,0.994587458745875,0.724137931034483
DTLZ1,20,1,4,0.833333333333333,minmax,0.506086802878733,0,-0.0242290831624242,-0.244380438043804,0.351351351351351
DTLZ1,20,1,5,1,base,0.354475783699059,0,0,1,1
DTLZ1,20,1,5,1,x0.1,0.382111183343158,0,0.0276353996440991,0.997479747974798,0.923076923076923
DTLZ1,20,1,5,1,x10,0.350452984230326,0,-0.00402279946873291,1,1
DTLZ1,20,1,5,1,x100,0.350045353227968,0,-0.00443043047109065,1,1
DTLZ1,20,1,5,1,wfg_style,0.330128941823399,0,-0.0243468418756597,0.893945394539454,0.851851851851852
DTLZ1,20,1,5,1,de_wfg,0.474489831075413,0,0.120014047376354,0.892745274527453,0.851851851851852
DTLZ1,20,1,5,1,minmax,0.513757974912431,0,0.159282191213372,-0.194635463546355,0.428571428571429
DTLZ2,10,1,1,0.333333333333333,base,0.579375244165132,1,0,1,1
DTLZ2,10,1,1,0.333333333333333,x0.1,0.469975609885579,0,-0.109399634279553,-0.427542754275428,1
DTLZ2,10,1,1,0.333333333333333,x10,0.606735666569789,1,0.0273604224046567,1,1
DTLZ2,10,1,1,0.333333333333333,x100,0.609673110445874,1,0.0302978662807417,1,1
DTLZ2,10,1,1,0.333333333333333,wfg_style,0.637534431561161,1,0.058159187396029,0.817101710171017,0.666666666666667
DTLZ2,10,1,1,0.333333333333333,de_wfg,0.449166461860709,0,-0.130208782304423,-0.305622562256226,0.470588235294118
DTLZ2,10,1,1,0.333333333333333,minmax,0.538998544921245,0,-0.0403766992438873,0.26970297029703,0.515151515151515
DTLZ2,10,1,2,0.5,base,0.495516895892196,0,0,1,1
DTLZ2,10,1,2,0.5,x0.1,0.534142131102839,0,0.038625235210643,-0.490549054905491,1
DTLZ2,10,1,2,0.5,x10,0.465364163762515,0,-0.0301527321296803,1,1
DTLZ2,10,1,2,0.5,x100,0.460564139569845,0,-0.0349527563223507,1,1
DTLZ2,10,1,2,0.5,wfg_style,0.510811120990494,0,0.0152942250982979,0.644536453645365,0.351351351351351
DTLZ2,10,1,2,0.5,de_wfg,0.527381368470556,0,0.0318644725783603,-0.404428442844284,0.515151515151515
DTLZ2,10,1,2,0.5,minmax,0.509703012713343,0,0.0141861168211474,0.0983738373837384,0.470588235294118
DTLZ2,10,1,3,0.666666666666667,base,0.450196424562377,0,0,1,1
DTLZ2,10,1,3,0.666666666666667,x0.1,0.600046221756987,1,0.149849797194609,-0.365136513651365,1
DTLZ2,10,1,3,0.666666666666667,x10,0.36435394269108,0,-0.085842481871297,1,1
DTLZ2,10,1,3,0.666666666666667,x100,0.351500519575693,0,-0.0986959049866844,1,1
DTLZ2,10,1,3,0.666666666666667,wfg_style,0.349846160282878,0,-0.1003502642795,0.661110111011101,0.428571428571429
