Problem,M,Metric,View,Truth,ArmA,ArmB,HigherIsBetter,ValidPairs,MeanA,MeanB,MeanDeltaAminusB,MedianDeltaAminusB,MeanRelativeImprovementPct,PairedWinProbability,RankBiserial,PValueRaw
DTLZ2,20,Precision,score_hybrid,population_h1,lambda030,lambda050,1,25,0.951951515151515,0.949333333333333,0.0026181818181818,0.00242424242424233,0.286502180689519,0.6,0.209230769230769,0.360169557253454
DTLZ2,20,Precision,score_v,population_final,lambda030,lambda050,1,25,0.363414925373134,0.388417910447761,-0.0250029850746269,-0.0280597014925374,-4.37274337577685,0.4,-0.335384615384615,0.142514013336794
DTLZ2,20,Precision,score_v,front_final,lambda030,lambda050,1,25,0.889313432835821,0.900202985074627,-0.010889552238806,-0.00238805970149258,-0.888192556413497,0.48,-0.138461538461538,0.553828871979606
DTLZ2,20,Precision,score_v,population_h1,lambda030,lambda050,1,25,0.954230303030303,0.952509090909091,0.00172121212121211,0.00303030303030283,0.193076380406069,0.62,0.136666666666667,0.567531235901372
DTLZ2,20,Precision,anchor_margin,population_final,lambda030,lambda050,1,25,0.313313432835821,0.308608955223881,0.0047044776119403,0.00179104477611941,6.64446408527797,0.56,0.0830769230769231,0.716423138125903
DTLZ2,20,Precision,anchor_margin,front_final,lambda030,lambda050,1,25,0.82579104477612,0.833982089552239,-0.00819104477611941,-0.0149253731343285,-0.365178878463085,0.44,-0.144615384615385,0.527182745255457
DTLZ2,20,Precision,anchor_margin,population_h1,lambda030,lambda050,1,25,0.929406060606061,0.927418181818182,0.0019878787878788,0.00484848484848499,0.235721506908133,0.52,0.132307692307692,0.562874527783006
DTLZ4,10,IGD,-,-,lambda030,lambda050,0,25,0.991055546267021,1.04635909570738,-0.0553035494403609,-0.048005820203416,4.64896847530613,0.64,0.483076923076923,0.0346699352823068
DTLZ4,10,Precision,score_hybrid,population_final,lambda030,lambda050,1,25,0.479617910447761,0.494853731343284,-0.0152358208955224,-0.0298507462686567,-1.88724074987386,0.4,-0.286153846153846,0.210871951440329
DTLZ4,10,Precision,score_hybrid,front_final,lambda030,lambda050,1,25,0.959092537313433,0.962292537313433,-0.00320000000000001,0.00597014925373118,-0.286343432990061,0.6,-0.0830769230769231,0.726472653355473
